Date,close,high,low,trade_count,open,volume,vwap,symbol
2024-04-22 04:00:00+00:00,189.41,190.125,185.98,137885,185.99,11529668,188.615056,JPM
2024-04-23 04:00:00+00:00,192.14,192.225,190.52,126307,191.13,9144372,191.703313,JPM
2024-04-24 04:00:00+00:00,193.08,193.23,190.17,113851,190.53,6964905,192.235218,JPM
2024-04-25 04:00:00+00:00,193.37,193.935,191.18,119052,192.25,9802265,193.014523,JPM
2024-04-26 04:00:00+00:00,193.49,194.87,193.06,94317,193.57,6413655,193.823857,JPM
2024-04-29 04:00:00+00:00,193.28,194.26,192.43,93350,193.48,5411129,193.398029,JPM
2024-04-30 04:00:00+00:00,191.74,194.99,191.64,116343,192.81,8153681,192.77188,JPM
2024-05-01 04:00:00+00:00,191.86,194.46,190.79,122835,192.27,7446703,192.333779,JPM
2024-05-02 04:00:00+00:00,191.66,193.5,189.52,103880,193.07,6501657,191.253515,JPM
2024-05-03 04:00:00+00:00,190.51,192.529,188.46,134446,192.0,8922775,190.338084,JPM
2024-05-06 04:00:00+00:00,192.0,192.2,189.815,125582,191.73,7911134,191.162786,JPM
2024-05-07 04:00:00+00:00,191.75,192.93,191.65,115142,191.7,7688771,192.125437,JPM
2024-05-08 04:00:00+00:00,195.65,196.65,191.0,134463,191.0,9227561,194.300397,JPM
2024-05-09 04:00:00+00:00,197.5,197.59,195.1,118227,195.17,7977291,196.867707,JPM
2024-05-10 04:00:00+00:00,198.77,199.3399,198.27,110148,198.54,7529790,198.865445,JPM
2024-05-13 04:00:00+00:00,198.73,199.85,198.04,98116,198.8,7049241,198.881371,JPM
2024-05-14 04:00:00+00:00,201.51,201.58,198.16,124714,199.0,8596175,200.47283,JPM
2024-05-15 04:00:00+00:00,202.11,202.69,199.77,127323,202.01,8369975,201.251747,JPM
2024-05-16 04:00:00+00:00,202.47,204.48,201.9901,123446,202.22,8497927,203.031976,JPM
2024-05-17 04:00:00+00:00,204.79,205.05,202.8149,122685,203.81,9260490,204.421974,JPM
2024-05-20 04:00:00+00:00,195.58,205.88,195.4,227026,204.39,17373253,199.030672,JPM
2024-05-21 04:00:00+00:00,199.52,199.9,196.6,185086,197.0,14420799,198.699957,JPM
2024-05-22 04:00:00+00:00,198.31,200.935,197.69,133558,199.0,9425338,198.939961,JPM
2024-05-23 04:00:00+00:00,196.92,198.3,196.07,109296,197.81,8069445,197.147705,JPM
2024-05-24 04:00:00+00:00,200.71,200.76,197.56,98140,197.75,7356233,200.055522,JPM
2024-05-28 04:00:00+00:00,199.5,200.41,198.66,113320,199.86,6910206,199.476074,JPM
2024-05-29 04:00:00+00:00,198.11,198.99,196.89,100455,198.0,6120045,198.094643,JPM
2024-05-30 04:00:00+00:00,199.33,199.85,198.4,103545,198.56,6829719,199.271381,JPM
2024-05-31 04:00:00+00:00,202.63,203.3,198.35,123643,199.3,14417885,201.712086,JPM
2024-06-03 04:00:00+00:00,201.82,202.42,199.19,113451,202.31,6444309,201.116139,JPM
2024-06-04 04:00:00+00:00,199.16,201.98,198.28,111132,200.16,6848338,199.480243,JPM
2024-06-05 04:00:00+00:00,197.26,199.82,196.92,118153,199.76,8351597,197.733236,JPM
2024-06-06 04:00:00+00:00,196.91,198.02,195.33,108862,197.26,7640289,196.866465,JPM
2024-06-07 04:00:00+00:00,199.95,200.92,197.01,97294,197.43,6964498,199.812559,JPM
2024-06-10 04:00:00+00:00,199.61,200.84,198.44,102098,199.24,6071201,199.58524,JPM
2024-06-11 04:00:00+00:00,194.36,197.94,193.6,132115,197.91,9235302,194.672119,JPM
2024-06-12 04:00:00+00:00,191.53,196.72,191.31,180125,196.0,12751329,192.73878,JPM
