Symbol,Datetime,Action,Price,Shares,Cash_Remaining,Market_VWAP,Slippage,Participation_Rate
JPM,2025-04-21 13:40:00+00:00,BUY,230.98,28.0,199.22666666666737,230.98,0.0,0.001883745963401507
JPM,2025-04-21 13:53:00+00:00,SELL,230.5,28.0,6653.226666666667,230.5,0.0,0.0017828716969118116
JPM,2025-04-21 14:30:00+00:00,BUY,229.125,29.0,8.60166666666737,229.125,0.0,0.0037863950907429168
JPM,2025-04-21 14:46:00+00:00,SELL,228.62,29.0,6638.581666666668,228.62,0.0,0.0018383518225039619
JPM,2025-04-21 15:05:00+00:00,BUY,228.66,29.0,7.4416666666675155,228.66,0.0,0.0025171426091485116
JPM,2025-04-21 15:25:00+00:00,SELL,228.9,29.0,6645.541666666668,228.9,0.0,0.005451127819548872
JPM,2025-04-21 16:07:00+00:00,BUY,227.97,29.0,34.41166666666777,227.96999999999997,8.242295734817162e-13,0.005528021349599695
JPM,2025-04-21 16:20:00+00:00,SELL,228.025,29.0,6647.136666666668,228.025,0.0,0.0036272670419011882
JPM,2025-04-21 16:31:00+00:00,BUY,228.3891,29.0,23.852766666667776,228.3891,0.0,0.005956048469911686
JPM,2025-04-21 16:52:00+00:00,SELL,228.48,29.0,6649.772766666668,228.48,0.0,0.0009429054493432175
JPM,2025-04-21 17:23:00+00:00,BUY,227.93,29.0,39.8027666666676,227.93000000000004,-8.242295734817162e-13,0.004789430222956234
JPM,2025-04-21 17:26:00+00:00,SELL,227.575,29.0,6639.477766666667,227.575,0.0,0.0025300994590821847
JPM,2025-04-21 17:27:00+00:00,BUY,227.79,29.0,33.56776666666701,227.79,0.0,0.00332378223495702
JPM,2025-04-21 17:28:00+00:00,SELL,227.605,29.0,6634.112766666667,227.60499999999996,8.242295734817162e-13,0.0021137026239067057
JPM,2025-04-21 17:30:00+00:00,BUY,227.8493,29.0,26.483066666666677,227.8493,0.0,0.003260258572231591
JPM,2025-04-21 17:36:00+00:00,SELL,227.56,29.0,6625.723066666666,227.56,0.0,0.0017311365807067814
JPM,2025-04-21 18:16:00+00:00,BUY,226.9567,29.0,43.97876666666616,226.9567,0.0,0.002203647416413374
JPM,2025-04-21 18:47:00+00:00,SELL,227.275,29.0,6634.9537666666665,227.275,0.0,0.003332184304262898
JPM,2025-04-21 19:01:00+00:00,BUY,227.61,29.0,34.263766666666015,227.61,0.0,0.001272990650103156
JPM,2025-04-21 19:27:00+00:00,SELL,227.68,29.0,6636.983766666666,227.68,0.0,0.0010418537812107059
JPM,2025-04-21 19:37:00+00:00,BUY,227.915,29.0,27.448766666666412,227.915,0.0,0.00035566239054183327
JPM,2025-04-21 22:53:00+00:00,SELL,228.5001,29.0,6653.951666666667,228.5001,0.0,0.21323529411764705
JPM,2025-04-21 23:56:00+00:00,BUY,229.0,29.0,12.951666666666824,229.0,0.0,0.29
