Symbol,Datetime,Action,Price,Shares,Cash_Remaining,Market_VWAP,Slippage,Participation_Rate
QQQ,2025-04-21 08:29:00+00:00,BUY,439.43,15.0,75.21666666666715,439.43,0.0,0.03275109170305677
QQQ,2025-04-21 08:47:00+00:00,SELL,439.44,15.0,6666.816666666668,439.44,0.0,0.006229235880398671
QQQ,2025-04-21 09:26:00+00:00,BUY,439.0,15.0,81.81666666666752,439.0,0.0,0.006696428571428571
QQQ,2025-04-21 09:44:00+00:00,SELL,438.59,15.0,6660.666666666667,438.59,0.0,0.004189944134078212
QQQ,2025-04-21 09:49:00+00:00,BUY,439.02,15.0,75.3666666666677,439.02000000000004,-8.526512829121202e-13,0.019815059445178335
QQQ,2025-04-21 10:13:00+00:00,SELL,439.17,15.0,6662.916666666668,439.17,0.0,0.02051983584131327
QQQ,2025-04-21 10:43:00+00:00,BUY,439.13,15.0,75.96666666666806,439.13,0.0,0.03676470588235294
QQQ,2025-04-21 11:12:00+00:00,SELL,439.27,15.0,6665.016666666667,439.27,0.0,0.0036452004860267314
QQQ,2025-04-21 11:59:00+00:00,BUY,437.66,15.0,100.1166666666668,437.66,0.0,0.006412997007268063
QQQ,2025-04-21 12:48:00+00:00,SELL,438.2177,15.0,6673.382166666666,438.2177,0.0,0.00732421875
QQQ,2025-04-21 13:23:00+00:00,BUY,437.64,15.0,108.78216666666684,437.64,0.0,0.002960331557134399
QQQ,2025-04-21 13:38:00+00:00,SELL,437.26,15.0,6667.6821666666665,437.26000000000005,-8.526512829121202e-13,0.00014729275908796323
QQQ,2025-04-21 14:34:00+00:00,BUY,433.39,15.0,166.83216666666704,433.39,0.0,0.00011027627883724691
QQQ,2025-04-21 14:47:00+00:00,SELL,433.3015,15.0,6666.354666666667,433.3015,0.0,0.0002340422212167075
QQQ,2025-04-21 15:00:00+00:00,BUY,433.8725,15.0,158.26716666666744,433.8725,0.0,0.00020183264037460137
QQQ,2025-04-21 15:04:00+00:00,SELL,433.1144,15.0,6654.983166666667,433.1144,0.0,0.0005353128011134507
QQQ,2025-04-21 15:12:00+00:00,BUY,433.33,15.0,155.03316666666706,433.33,0.0,0.0002584825351967052
QQQ,2025-04-21 15:14:00+00:00,SELL,432.45,15.0,6641.783166666667,432.45,0.0,0.00010884946119516709
QQQ,2025-04-21 16:02:00+00:00,BUY,430.71,15.0,181.13316666666745,430.7099999999999,8.526512829121202e-13,0.00026857173551055486
QQQ,2025-04-21 16:21:00+00:00,SELL,430.86,15.0,6644.033166666668,430.86,0.0,0.000578391300994833
QQQ,2025-04-21 16:32:00+00:00,BUY,431.527,15.0,171.12816666666822,431.52699999999993,8.526512829121202e-13,0.0001916834922176502
QQQ,2025-04-21 16:49:00+00:00,SELL,431.2,15.0,6639.128166666668,431.2,0.0,0.00033741227280906965
QQQ,2025-04-21 17:21:00+00:00,BUY,429.4796,15.0,196.9341666666678,429.4796,0.0,0.00045024763619990995
QQQ,2025-04-21 17:29:00+00:00,SELL,429.11,15.0,6633.584166666668,429.11,0.0,0.00033980472555105
QQQ,2025-04-21 17:30:00+00:00,BUY,429.4242,15.0,192.22116666666895,429.4242,0.0,0.0010198531411476747
QQQ,2025-04-21 17:37:00+00:00,SELL,429.099,15.0,6628.706166666669,429.099,0.0,0.00039607097591888465
QQQ,2025-04-21 18:09:00+00:00,BUY,428.39,15.0,202.8561666666692,428.39,0.0,0.0006518338258300017
QQQ,2025-04-21 18:41:00+00:00,SELL,428.84,15.0,6635.456166666669,428.8399999999999,8.526512829121202e-13,8.155453823820449e-05
QQQ,2025-04-21 19:01:00+00:00,BUY,428.9301,15.0,201.50466666666853,428.93010000000004,-8.526512829121202e-13,0.00014425018752524377
QQQ,2025-04-21 19:30:00+00:00,SELL,429.77,15.0,6648.054666666668,429.77,0.0,7.188142440230595e-05
QQQ,2025-04-21 19:32:00+00:00,BUY,430.31,15.0,193.40466666666816,430.31,0.0,0.00010139999594400016
