Symbol,Datetime,Action,Price,Shares,Cash_Remaining,Market_VWAP,Slippage,Participation_Rate
SPY,2025-04-21 08:42:00+00:00,BUY,521.33,12.0,410.706666666666,521.33,0.0,0.007100591715976331
SPY,2025-04-21 08:50:00+00:00,SELL,521.3,12.0,6666.3066666666655,521.3,0.0,0.001172103926548154
SPY,2025-04-21 09:04:00+00:00,BUY,521.13,12.0,412.746666666666,521.13,0.0,0.003444316877152698
SPY,2025-04-21 09:09:00+00:00,SELL,521.02,12.0,6664.986666666666,521.02,0.0,0.032
SPY,2025-04-21 09:28:00+00:00,BUY,521.05,12.0,412.3866666666663,521.05,0.0,0.027210884353741496
SPY,2025-04-21 09:40:00+00:00,SELL,520.8,12.0,6661.986666666666,520.8,0.0,0.0759493670886076
SPY,2025-04-21 09:52:00+00:00,BUY,520.91,12.0,411.0666666666657,520.91,0.0,0.01848998459167951
SPY,2025-04-21 10:30:00+00:00,SELL,520.75,12.0,6660.066666666666,520.75,0.0,0.005415162454873646
SPY,2025-04-21 10:46:00+00:00,BUY,521.2,12.0,405.6666666666652,521.2,0.0,0.008391608391608392
SPY,2025-04-21 11:15:00+00:00,SELL,521.6,12.0,6664.866666666666,521.6,0.0,0.004750593824228029
SPY,2025-04-21 11:44:00+00:00,BUY,519.71,12.0,428.34666666666544,519.71,0.0,0.002136752136752137
SPY,2025-04-21 11:45:00+00:00,SELL,519.721,12.0,6664.9986666666655,519.721,0.0,0.007677543186180422
SPY,2025-04-21 12:00:00+00:00,BUY,520.12,12.0,423.558666666665,520.12,0.0,8.867213478164486e-05
SPY,2025-04-21 12:52:00+00:00,SELL,520.86,12.0,6673.878666666665,520.86,0.0,0.0030596634370219276
SPY,2025-04-21 13:22:00+00:00,BUY,520.66,12.0,425.9586666666646,520.66,0.0,0.004020100502512563
SPY,2025-04-21 13:35:00+00:00,SELL,520.13,12.0,6667.518666666664,520.13,0.0,5.885064686669348e-05
SPY,2025-04-21 14:36:00+00:00,BUY,516.1,12.0,474.3186666666634,516.1,0.0,5.839217155620003e-05
SPY,2025-04-21 14:46:00+00:00,SELL,515.3396,12.0,6658.393866666664,515.3396,0.0,0.00010260707475780455
SPY,2025-04-21 16:03:00+00:00,BUY,511.54,13.0,8.373866666663162,511.53999999999996,7.389644451905042e-13,0.00012860463965969234
SPY,2025-04-21 16:19:00+00:00,SELL,511.65,13.0,6659.823866666663,511.65000000000003,-7.389644451905042e-13,0.00017804804558029967
SPY,2025-04-21 16:32:00+00:00,BUY,512.5294,12.0,509.4710666666624,512.5294,0.0,7.311322191690682e-05
SPY,2025-04-21 16:49:00+00:00,SELL,512.3,12.0,6657.071066666662,512.3,0.0,0.00011864976566671281
SPY,2025-04-21 17:21:00+00:00,BUY,510.42,13.0,21.611066666661827,510.4200000000001,-7.389644451905042e-13,6.0850312911032163e-05
SPY,2025-04-21 17:28:00+00:00,SELL,509.8742,13.0,6649.975666666662,509.8741999999999,7.389644451905042e-13,0.00015029249231196098
SPY,2025-04-21 17:30:00+00:00,BUY,510.31,13.0,15.945666666661964,510.31,0.0,0.00022743177046885934
SPY,2025-04-21 17:36:00+00:00,SELL,510.4,13.0,6651.145666666662,510.4,0.0,0.00019983705593900358
SPY,2025-04-21 18:14:00+00:00,BUY,508.96,13.0,34.66566666666222,508.96,0.0,0.00011205061239969316
SPY,2025-04-21 18:42:00+00:00,SELL,509.56,13.0,6658.945666666662,509.56000000000006,-7.389644451905042e-13,0.00016777224272771855
SPY,2025-04-21 19:02:00+00:00,BUY,509.69,13.0,32.97566666666171,509.69,0.0,8.648907576443037e-05
SPY,2025-04-21 19:30:00+00:00,SELL,510.38,13.0,6667.915666666661,510.37999999999994,7.389644451905042e-13,7.790495595373644e-05
SPY,2025-04-21 19:33:00+00:00,BUY,510.84,13.0,26.99566666666124,510.84,0.0,9.659179564148097e-05
SPY,2025-04-21 20:07:00+00:00,SELL,513.91,13.0,6707.825666666661,513.91,0.0,0.0001770682938788853
SPY,2025-04-21 20:09:00+00:00,BUY,513.79,13.0,28.55566666666164,513.79,0.0,0.0006244296075700082
SPY,2025-04-21 20:13:00+00:00,SELL,513.56,13.0,6704.8356666666605,513.56,0.0,0.0002822834560180661
SPY,2025-04-21 20:34:00+00:00,BUY,513.62,13.0,27.775666666660072,513.62,0.0,0.0016177202588352414
SPY,2025-04-21 21:07:00+00:00,SELL,513.89,13.0,6708.34566666666,513.89,0.0,0.00878972278566599
SPY,2025-04-21 21:08:00+00:00,BUY,513.94,13.0,27.125666666658617,513.94,0.0,0.01925925925925926
SPY,2025-04-21 21:32:00+00:00,SELL,513.85,13.0,6707.175666666659,513.85,0.0,0.01984732824427481
SPY,2025-04-21 21:35:00+00:00,BUY,514.0,13.0,25.1756666666588,514.0,0.0,0.0024105321713332097
SPY,2025-04-21 21:47:00+00:00,SELL,513.9,13.0,6705.875666666659,513.9,0.0,0.011433597185576077
SPY,2025-04-21 21:48:00+00:00,BUY,513.99,13.0,24.00566666665873,513.99,0.0,0.01897810218978102
SPY,2025-04-21 21:49:00+00:00,SELL,513.91,13.0,6704.835666666659,513.91,0.0,0.047619047619047616
SPY,2025-04-21 22:32:00+00:00,BUY,513.48,13.0,29.59566666665887,513.48,0.0,0.0023115220483641537
SPY,2025-04-21 22:54:00+00:00,SELL,513.7,13.0,6707.695666666659,513.7,0.0,0.013013013013013013
SPY,2025-04-21 23:10:00+00:00,BUY,513.86,13.0,27.515666666658944,513.86,0.0,0.07065217391304347
SPY,2025-04-22 08:22:00+00:00,SELL,518.1,13.0,6762.815666666659,518.1,0.0,0.03757225433526012
SPY,2025-04-22 08:29:00+00:00,BUY,518.62,13.0,20.75566666665873,518.62,0.0,0.014115092290988056
SPY,2025-04-22 08:50:00+00:00,SELL,518.75,13.0,6764.505666666659,518.75,0.0,0.08227848101265822
SPY,2025-04-22 09:01:00+00:00,BUY,519.32,13.0,13.345666666657962,519.32,0.0,0.0031492248062015503
SPY,2025-04-22 09:15:00+00:00,SELL,518.67,13.0,6756.055666666657,518.67,0.0,0.01069078947368421
SPY,2025-04-22 09:29:00+00:00,BUY,519.32,13.0,4.895666666656325,519.32,0.0,0.026584867075664622
SPY,2025-04-22 09:52:00+00:00,SELL,519.14,13.0,6753.715666666656,519.14,0.0,0.015028901734104046
SPY,2025-04-22 10:25:00+00:00,BUY,518.9,13.0,8.015666666656216,518.9,0.0,0.06220095693779904
SPY,2025-04-22 10:27:00+00:00,SELL,518.77,13.0,6752.025666666656,518.77,0.0,0.038461538461538464
SPY,2025-04-22 10:42:00+00:00,BUY,519.13,13.0,3.3356666666568344,519.13,0.0,0.018207282913165267
SPY,2025-04-22 10:54:00+00:00,SELL,518.7,13.0,6746.435666666657,518.7,0.0,0.042483660130718956
SPY,2025-04-22 11:23:00+00:00,BUY,518.32,13.0,8.275666666656434,518.32,0.0,0.00771513353115727
SPY,2025-04-22 11:36:00+00:00,SELL,518.14,13.0,6744.095666666656,518.14,0.0,0.01653944020356234
SPY,2025-04-22 11:51:00+00:00,BUY,518.08,13.0,9.05566666665527,518.08,0.0,0.008575197889182058
SPY,2025-04-22 11:52:00+00:00,SELL,517.95,13.0,6742.405666666656,517.95,0.0,0.007523148148148148
SPY,2025-04-22 12:11:00+00:00,BUY,517.94,13.0,9.18566666665447,517.94,0.0,0.0022707423580786024
SPY,2025-04-22 13:19:00+00:00,SELL,519.45,13.0,6762.035666666655,519.45,0.0,0.0022964140611199434
SPY,2025-04-22 13:24:00+00:00,BUY,519.91,13.0,3.2056666666549063,519.91,0.0,0.0001727299301108129
SPY,2025-04-22 13:34:00+00:00,SELL,519.43,13.0,6755.795666666654,519.43,0.0,5.559594577256982e-05
SPY,2025-04-22 13:39:00+00:00,BUY,520.465,12.0,510.2156666666542,520.465,0.0,7.415417889695658e-05
SPY,2025-04-22 13:56:00+00:00,SELL,521.355,12.0,6766.475666666654,521.355,0.0,0.00011739845034045551
SPY,2025-04-22 13:58:00+00:00,BUY,521.7,12.0,506.0756666666539,521.7,0.0,0.0001174478580446889
SPY,2025-04-22 14:18:00+00:00,SELL,522.58,12.0,6777.035666666655,522.58,0.0,0.00014860681114551083
SPY,2025-04-22 14:20:00+00:00,BUY,522.85,12.0,502.8356666666541,522.85,0.0,0.00014470558442967912
SPY,2025-04-22 14:30:00+00:00,SELL,522.43,12.0,6771.995666666654,522.43,0.0,8.39055223817981e-05
SPY,2025-04-22 14:35:00+00:00,BUY,522.95,12.0,496.5956666666534,522.95,0.0,0.00011674628114450271
SPY,2025-04-22 15:28:00+00:00,SELL,525.21,12.0,6799.115666666654,525.21,0.0,0.00010797095581288633
SPY,2025-04-22 15:53:00+00:00,BUY,524.47,12.0,505.4756666666535,524.47,0.0,0.0001705926673585147
SPY,2025-04-22 16:37:00+00:00,SELL,528.3449,12.0,6845.614466666654,528.3449,0.0,0.00015280784413599898
SPY,2025-04-22 17:03:00+00:00,BUY,527.83,12.0,511.6544666666532,527.83,0.0,0.00018466652303714874
SPY,2025-04-22 17:10:00+00:00,SELL,526.59,12.0,6830.734466666653,526.59,0.0,3.1166564509594105e-05
SPY,2025-04-22 17:38:00+00:00,BUY,523.7301,13.0,22.24316666665345,523.7301,0.0,0.00016046213093709883
