Symbol,Datetime,Action,Price,Shares,Cash_Remaining,Market_VWAP,Slippage,Participation_Rate
WMT,2025-04-21 11:57:00+00:00,BUY,92.56,72.0,2.346666666667261,92.56,0.0,0.25263157894736843
WMT,2025-04-21 11:59:00+00:00,SELL,92.62,72.0,6670.986666666668,92.62,0.0,0.07523510971786834
WMT,2025-04-21 12:00:00+00:00,BUY,92.7751,71.0,83.95456666666814,92.7751,0.0,0.009327377824487651
WMT,2025-04-21 12:13:00+00:00,SELL,92.59,71.0,6657.8445666666685,92.59000000000002,-1.0089706847793423e-12,0.3271889400921659
WMT,2025-04-21 12:29:00+00:00,BUY,92.86,71.0,64.78456666666807,92.86,0.0,0.06179286335944299
WMT,2025-04-21 13:19:00+00:00,SELL,92.85,71.0,6657.134566666668,92.85,0.0,0.03962053571428571
WMT,2025-04-21 13:29:00+00:00,BUY,93.41,71.0,25.02456666666785,93.41,0.0,0.048730267673301304
WMT,2025-04-21 13:38:00+00:00,SELL,92.76,71.0,6610.984566666668,92.76,0.0,0.0011273062144739768
WMT,2025-04-21 13:58:00+00:00,BUY,93.0,71.0,7.984566666667888,93.0,0.0,0.001107765278579564
WMT,2025-04-21 14:01:00+00:00,SELL,92.87,71.0,6601.754566666668,92.87,0.0,0.0019937099853981803
WMT,2025-04-21 14:25:00+00:00,BUY,92.51,71.0,33.54456666666829,92.51,0.0,0.002871703607830448
WMT,2025-04-21 14:46:00+00:00,SELL,92.51,71.0,6601.754566666668,92.51,0.0,0.0007845563941346122
WMT,2025-04-21 15:06:00+00:00,BUY,92.43,71.0,39.22456666666767,92.43,0.0,0.0021163074905362306
WMT,2025-04-21 15:16:00+00:00,SELL,92.18,71.0,6584.004566666668,92.18,0.0,0.0013950289812358777
WMT,2025-04-21 15:57:00+00:00,BUY,91.9,71.0,59.10456666666778,91.9,0.0,0.0026056958308866706
WMT,2025-04-21 16:17:00+00:00,SELL,91.9,71.0,6584.004566666668,91.9,0.0,0.0025790984053180284
WMT,2025-04-21 16:30:00+00:00,BUY,92.26,71.0,33.54456666666829,92.26,0.0,0.0005450051430062791
WMT,2025-04-21 16:51:00+00:00,SELL,92.115,71.0,6573.709566666668,92.115,0.0,0.0026763164838478648
WMT,2025-04-21 17:23:00+00:00,BUY,91.66,71.0,65.84956666666858,91.66,0.0,0.0031325832781822194
WMT,2025-04-21 17:44:00+00:00,SELL,91.64,71.0,6572.289566666668,91.64,0.0,0.0032862763249247857
WMT,2025-04-21 18:05:00+00:00,BUY,91.495,71.0,76.14456666666774,91.495,0.0,0.0040922190201729105
WMT,2025-04-21 18:10:00+00:00,SELL,91.38,71.0,6564.124566666667,91.38,0.0,0.0023764099474512168
WMT,2025-04-21 18:16:00+00:00,BUY,91.59,71.0,61.23456666666698,91.59,0.0,0.003354277885387632
WMT,2025-04-21 18:23:00+00:00,SELL,91.44,71.0,6553.474566666667,91.44,0.0,0.0021674756540586743
WMT,2025-04-21 18:29:00+00:00,BUY,91.54,71.0,54.134566666666615,91.54,0.0,0.00331002331002331
WMT,2025-04-21 18:45:00+00:00,SELL,91.53,71.0,6552.764566666667,91.53,0.0,0.002011559383499547
WMT,2025-04-21 19:02:00+00:00,BUY,91.61,71.0,48.45456666666632,91.61,0.0,0.005033676001417937
WMT,2025-04-21 20:05:00+00:00,SELL,92.3458,71.0,6605.0063666666665,92.3458,0.0,0.14171656686626746
WMT,2025-04-21 20:13:00+00:00,BUY,92.36,71.0,47.44636666666611,92.36,0.0,0.33490566037735847
WMT,2025-04-21 20:21:00+00:00,SELL,92.41,71.0,6608.556366666666,92.40999999999998,1.0089706847793423e-12,0.18783068783068782
WMT,2025-04-21 21:06:00+00:00,BUY,92.38,71.0,49.57636666666622,92.38000000000001,-1.0089706847793423e-12,0.1802030456852792
WMT,2025-04-21 22:20:00+00:00,SELL,92.35,71.0,6606.426366666666,92.35,0.0,0.48299319727891155
WMT,2025-04-21 23:50:00+00:00,BUY,92.34,71.0,50.286366666665344,92.34,0.0,0.10380116959064327
WMT,2025-04-22 12:06:00+00:00,SELL,92.85,71.0,6642.636366666665,92.85,0.0,0.16136363636363638
WMT,2025-04-22 12:48:00+00:00,BUY,92.9,71.0,46.73636666666425,92.9,0.0,0.1232638888888889
WMT,2025-04-22 13:26:00+00:00,SELL,92.98,71.0,6648.316366666664,92.98,0.0,0.5035460992907801
WMT,2025-04-22 13:28:00+00:00,BUY,93.12,71.0,36.796366666663744,93.12,0.0,0.0627208480565371
WMT,2025-04-22 14:34:00+00:00,SELL,94.42,71.0,6740.616366666663,94.42,0.0,0.001958512633785722
WMT,2025-04-22 14:42:00+00:00,BUY,94.56,71.0,26.856366666663234,94.56,0.0,0.0036367361573528658
WMT,2025-04-22 15:08:00+00:00,SELL,94.6456,71.0,6746.693966666663,94.6456,0.0,0.003051794541156243
WMT,2025-04-22 15:24:00+00:00,BUY,94.78,71.0,17.313966666662964,94.78,0.0,0.0045110871084567
WMT,2025-04-22 15:31:00+00:00,SELL,94.58,71.0,6732.493966666663,94.58,0.0,0.0021308523409363745
WMT,2025-04-22 15:53:00+00:00,BUY,94.64,71.0,13.053966666663657,94.64,0.0,0.0052577014218009475
WMT,2025-04-22 16:18:00+00:00,SELL,94.9801,71.0,6756.641066666663,94.98010000000001,-1.0089706847793423e-12,0.005439779344161814
WMT,2025-04-22 16:24:00+00:00,BUY,95.16,71.0,0.2810666666637189,95.16,0.0,0.0024486136018761206
WMT,2025-04-22 16:30:00+00:00,SELL,95.02,71.0,6746.701066666664,95.02,0.0,0.0025837912587794317
WMT,2025-04-22 16:44:00+00:00,BUY,95.1,70.0,89.70106666666379,95.1,0.0,0.0038333059525765293
WMT,2025-04-22 16:46:00+00:00,SELL,95.02,70.0,6741.101066666663,95.01999999999998,9.947598300641403e-13,0.005043591036818214
WMT,2025-04-22 16:56:00+00:00,BUY,95.1,70.0,84.10106666666343,95.1,0.0,0.0025181667745881
WMT,2025-04-22 17:07:00+00:00,SELL,95.01,70.0,6734.801066666664,95.01,0.0,0.006114605171208945
WMT,2025-04-22 17:08:00+00:00,BUY,95.1812,70.0,72.11706666666396,95.1812,0.0,0.0012658914588494854
WMT,2025-04-22 17:10:00+00:00,SELL,94.85,70.0,6711.617066666664,94.85,0.0,0.0021099590065107305
WMT,2025-04-22 18:02:00+00:00,BUY,93.99,71.0,38.327066666664,93.99,0.0,0.005573435905487087
WMT,2025-04-22 19:00:00+00:00,SELL,94.7527,71.0,6765.768766666664,94.7527,0.0,0.0019298722478934493
WMT,2025-04-22 19:24:00+00:00,BUY,94.69,71.0,42.77876666666453,94.69,0.0,0.002880090864838553
WMT,2025-04-22 20:00:00+00:00,SELL,94.85,71.0,6777.128766666664,94.85,0.0,2.772188932094256e-05
WMT,2025-04-22 21:18:00+00:00,BUY,94.96,71.0,34.96876666666412,94.96,0.0,0.07164480322906155
WMT,2025-04-22 22:10:00+00:00,SELL,95.82,71.0,6838.188766666664,95.82,0.0,0.04159343878148799
WMT,2025-04-22 22:46:00+00:00,BUY,95.9,71.0,29.288766666662923,95.9,0.0,0.23202614379084968
WMT,2025-04-23 08:40:00+00:00,SELL,96.0,71.0,6845.288766666663,96.0,0.0,0.1517094017094017
WMT,2025-04-23 09:02:00+00:00,BUY,96.06,71.0,25.028766666662705,96.06,0.0,0.11658456486042693
WMT,2025-04-23 09:29:00+00:00,SELL,95.96,71.0,6838.188766666663,95.96,0.0,0.06501831501831502
WMT,2025-04-23 11:04:00+00:00,BUY,96.08,71.0,16.508766666662268,96.08,0.0,0.031195079086115993
WMT,2025-04-23 11:52:00+00:00,SELL,96.11,71.0,6840.318766666663,96.11,0.0,0.12746858168761221
WMT,2025-04-23 12:23:00+00:00,BUY,96.0,71.0,24.31876666666267,96.0,0.0,0.10230547550432277
WMT,2025-04-23 13:05:00+00:00,SELL,96.23,71.0,6856.648766666663,96.23,0.0,0.031126698816308637
WMT,2025-04-23 13:35:00+00:00,BUY,96.18,71.0,27.86876666666194,96.18,0.0,0.0007613124597898349
WMT,2025-04-23 13:42:00+00:00,SELL,95.4,71.0,6801.268766666663,95.4,0.0,0.0009174311926605505
WMT,2025-04-23 13:52:00+00:00,BUY,95.79,71.0,0.1787666666623408,95.79000000000002,-1.0089706847793423e-12,0.0006966589805229848
WMT,2025-04-23 14:15:00+00:00,SELL,95.915,71.0,6810.143766666663,95.915,0.0,0.0017901717052015834
WMT,2025-04-23 14:30:00+00:00,BUY,95.97,70.0,92.24376666666284,95.97,0.0,0.0024903941938238224
WMT,2025-04-23 14:41:00+00:00,SELL,95.77,70.0,6796.143766666663,95.77,0.0,0.0023158103682138485
WMT,2025-04-23 14:49:00+00:00,BUY,95.9099,70.0,82.45076666666318,95.90990000000001,-9.947598300641403e-13,0.002286909079029044
WMT,2025-04-23 14:53:00+00:00,SELL,95.78,70.0,6787.050766666664,95.78,0.0,0.002294254531152699
WMT,2025-04-23 15:38:00+00:00,BUY,94.955,71.0,45.24576666666326,94.955,0.0,0.003638040582086493
WMT,2025-04-23 15:44:00+00:00,SELL,94.76,71.0,6773.205766666663,94.76,0.0,0.0022748389990708403
WMT,2025-04-23 15:59:00+00:00,BUY,94.67,71.0,51.63576666666359,94.67,0.0,0.0020388823478735317
WMT,2025-04-23 16:01:00+00:00,SELL,94.6,71.0,6768.235766666663,94.6,0.0,0.0030435528120713305
WMT,2025-04-23 16:04:00+00:00,BUY,94.75,71.0,40.98576666666304,94.75,0.0,0.004458678723938709
WMT,2025-04-23 16:10:00+00:00,SELL,94.69,71.0,6763.975766666663,94.69,0.0,0.002676921916826905
WMT,2025-04-23 16:30:00+00:00,BUY,94.63,71.0,45.24576666666326,94.63,0.0,0.003193451176179553
