Symbol,Datetime,Action,Price,Shares,Cash_Remaining
BAC,2025-04-21 11:01:00+00:00,BUY,36.95,180.0,15.66666666666606
BAC,2025-04-21 12:00:00+00:00,SELL,36.87,180.0,6652.2666666666655
BAC,2025-04-21 12:19:00+00:00,BUY,36.9001,180.0,10.248666666665486
BAC,2025-04-21 13:02:00+00:00,SELL,36.9023,180.0,6652.662666666665
BAC,2025-04-21 13:22:00+00:00,BUY,36.95,180.0,1.662666666664336
BAC,2025-04-21 13:38:00+00:00,SELL,36.87,180.0,6638.262666666664
BAC,2025-04-21 13:48:00+00:00,BUY,37.06,179.0,4.522666666663099
BAC,2025-04-21 14:00:00+00:00,SELL,36.925,179.0,6614.097666666663
BAC,2025-04-21 14:15:00+00:00,BUY,36.92,179.0,5.417666666662626
BAC,2025-04-21 14:16:00+00:00,SELL,36.8499,179.0,6601.549766666662
BAC,2025-04-21 14:32:00+00:00,BUY,36.85,179.0,5.39976666666189
BAC,2025-04-21 14:45:00+00:00,SELL,36.88,179.0,6606.919766666662
BAC,2025-04-21 15:18:00+00:00,BUY,36.745,179.0,29.564766666662763
BAC,2025-04-21 15:29:00+00:00,SELL,36.685,179.0,6596.179766666663
BAC,2025-04-21 15:53:00+00:00,BUY,36.6,180.0,8.179766666663454
BAC,2025-04-21 15:54:00+00:00,SELL,36.56,180.0,6588.979766666664
BAC,2025-04-21 16:03:00+00:00,BUY,36.62,179.0,33.99976666666407
BAC,2025-04-21 16:27:00+00:00,SELL,36.685,179.0,6600.614766666665
BAC,2025-04-21 16:32:00+00:00,BUY,36.755,179.0,21.469766666664327
BAC,2025-04-21 16:50:00+00:00,SELL,36.765,179.0,6602.404766666665
BAC,2025-04-21 17:21:00+00:00,BUY,36.675,180.0,0.9047666666656369
BAC,2025-04-21 17:28:00+00:00,SELL,36.605,180.0,6589.804766666665
BAC,2025-04-21 17:30:00+00:00,BUY,36.67,179.0,25.874766666664982
BAC,2025-04-21 17:36:00+00:00,SELL,36.64,179.0,6584.434766666665
BAC,2025-04-21 18:13:00+00:00,BUY,36.555,180.0,4.534766666665746
BAC,2025-04-21 18:44:00+00:00,SELL,36.68,180.0,6606.934766666665
BAC,2025-04-21 19:03:00+00:00,BUY,36.645,180.0,10.834766666665018
BAC,2025-04-21 19:27:00+00:00,SELL,36.6699,180.0,6611.416766666664
BAC,2025-04-21 19:36:00+00:00,BUY,36.745,179.0,34.06176666666488
BAC,2025-04-21 20:33:00+00:00,SELL,36.92,179.0,6642.741766666665
BAC,2025-04-21 21:17:00+00:00,BUY,36.9,180.0,0.7417666666651712
BAC,2025-04-21 22:21:00+00:00,SELL,36.77,180.0,6619.3417666666655
BAC,2025-04-21 23:13:00+00:00,BUY,36.8988,179.0,14.456566666664912
BAC,2025-04-21 23:43:00+00:00,SELL,36.8001,179.0,6601.674466666665
BAC,2025-04-21 23:55:00+00:00,BUY,36.93,178.0,28.134466666664594
BAC,2025-04-22 11:10:00+00:00,SELL,37.2,178.0,6649.734466666665
BAC,2025-04-22 11:54:00+00:00,BUY,37.26,178.0,17.454466666665212
BAC,2025-04-22 12:02:00+00:00,SELL,37.23,178.0,6644.394466666665
BAC,2025-04-22 12:22:00+00:00,BUY,37.27,178.0,10.334466666664412
BAC,2025-04-22 13:52:00+00:00,SELL,37.72,178.0,6724.494466666664
BAC,2025-04-22 14:10:00+00:00,BUY,37.785,177.0,36.54946666666456
BAC,2025-04-22 14:27:00+00:00,SELL,37.745,177.0,6717.414466666664
BAC,2025-04-22 14:34:00+00:00,BUY,37.79,177.0,28.58446666666441
BAC,2025-04-22 14:53:00+00:00,SELL,37.81,177.0,6720.954466666665
BAC,2025-04-22 15:00:00+00:00,BUY,37.89,177.0,14.424466666665467
BAC,2025-04-22 15:27:00+00:00,SELL,37.905,177.0,6723.609466666666
BAC,2025-04-22 15:52:00+00:00,BUY,37.865,177.0,21.504466666665394
BAC,2025-04-22 16:18:00+00:00,SELL,38.11,177.0,6766.974466666666
BAC,2025-04-22 16:21:00+00:00,BUY,38.15,177.0,14.424466666665467
BAC,2025-04-22 16:37:00+00:00,SELL,38.16,177.0,6768.744466666665
BAC,2025-04-22 17:00:00+00:00,BUY,38.095,177.0,25.929466666665576
