Symbol,Datetime,Action,Price,Shares,Cash_Remaining
IWM,2025-04-21 08:31:00+00:00,BUY,185.09,36.0,3.426666666667188
IWM,2025-04-21 08:58:00+00:00,SELL,184.92,36.0,6660.546666666667
IWM,2025-04-21 09:04:00+00:00,BUY,184.95,36.0,2.346666666667261
IWM,2025-04-21 09:10:00+00:00,SELL,184.85,36.0,6656.946666666667
IWM,2025-04-21 09:44:00+00:00,BUY,184.79,36.0,4.506666666667115
IWM,2025-04-21 09:57:00+00:00,SELL,184.83,36.0,6658.386666666667
IWM,2025-04-21 10:02:00+00:00,BUY,185.03,35.0,182.33666666666704
IWM,2025-04-21 10:30:00+00:00,SELL,184.82,35.0,6651.036666666667
IWM,2025-04-21 10:54:00+00:00,BUY,185.02,35.0,175.33666666666613
IWM,2025-04-21 11:20:00+00:00,SELL,184.95,35.0,6648.586666666666
IWM,2025-04-21 11:42:00+00:00,BUY,184.69,35.0,184.4366666666665
IWM,2025-04-21 11:52:00+00:00,SELL,184.34,35.0,6636.336666666667
IWM,2025-04-21 12:00:00+00:00,BUY,184.95,35.0,163.08666666666704
IWM,2025-04-21 12:25:00+00:00,SELL,184.57,35.0,6623.036666666667
IWM,2025-04-21 12:28:00+00:00,BUY,184.79,35.0,155.38666666666722
IWM,2025-04-21 12:52:00+00:00,SELL,184.71,35.0,6620.236666666668
IWM,2025-04-21 13:15:00+00:00,BUY,184.78,35.0,152.9366666666674
IWM,2025-04-21 13:34:00+00:00,SELL,184.39,35.0,6606.586666666667
IWM,2025-04-21 13:52:00+00:00,BUY,184.19,35.0,159.9366666666674
IWM,2025-04-21 13:53:00+00:00,SELL,184.2,35.0,6606.936666666667
IWM,2025-04-21 14:28:00+00:00,BUY,183.56,35.0,182.33666666666704
IWM,2025-04-21 14:32:00+00:00,SELL,183.27,35.0,6596.786666666668
IWM,2025-04-21 14:37:00+00:00,BUY,183.6607,35.0,168.66216666666787
IWM,2025-04-21 14:46:00+00:00,SELL,183.38,35.0,6586.962166666668
IWM,2025-04-21 16:02:00+00:00,BUY,182.05,36.0,33.16216666666787
IWM,2025-04-21 16:27:00+00:00,SELL,182.2,36.0,6592.362166666668
IWM,2025-04-21 16:32:00+00:00,BUY,182.65,36.0,16.962166666667144
IWM,2025-04-21 16:47:00+00:00,SELL,182.37,36.0,6582.282166666667
IWM,2025-04-21 17:22:00+00:00,BUY,181.65,36.0,42.88216666666631
IWM,2025-04-21 17:27:00+00:00,SELL,181.52,36.0,6577.602166666667
IWM,2025-04-21 18:08:00+00:00,BUY,181.1,36.0,58.00216666666711
IWM,2025-04-21 18:27:00+00:00,SELL,181.295,36.0,6584.622166666667
