Symbol,Datetime,Action,Price,Shares,Cash_Remaining
META,2025-04-21 10:26:00+00:00,BUY,495.3,13.0,227.76666666666642
META,2025-04-21 11:12:00+00:00,SELL,494.7,13.0,6658.866666666666
META,2025-04-21 12:12:00+00:00,BUY,492.5,13.0,256.3666666666659
META,2025-04-21 12:14:00+00:00,SELL,492.0,13.0,6652.366666666666
META,2025-04-21 12:24:00+00:00,BUY,493.4,13.0,238.16666666666606
META,2025-04-21 12:44:00+00:00,SELL,492.51,13.0,6640.796666666666
META,2025-04-21 13:30:00+00:00,BUY,490.26,13.0,267.41666666666606
META,2025-04-21 13:41:00+00:00,SELL,490.9585,13.0,6649.877166666666
META,2025-04-21 14:13:00+00:00,BUY,485.92,13.0,332.91716666666616
META,2025-04-21 14:28:00+00:00,SELL,484.89,13.0,6636.487166666666
META,2025-04-21 14:37:00+00:00,BUY,485.39,13.0,326.41716666666616
META,2025-04-21 14:47:00+00:00,SELL,484.94,13.0,6630.637166666666
META,2025-04-21 14:49:00+00:00,BUY,484.7,13.0,329.53716666666696
META,2025-04-21 14:51:00+00:00,SELL,485.2099,13.0,6637.265866666667
META,2025-04-21 14:54:00+00:00,BUY,485.42,13.0,326.8058666666666
META,2025-04-21 15:13:00+00:00,SELL,484.9801,13.0,6631.547166666666
META,2025-04-21 15:57:00+00:00,BUY,481.6,13.0,370.7471666666661
META,2025-04-21 16:21:00+00:00,SELL,482.745,13.0,6646.4321666666665
META,2025-04-21 16:33:00+00:00,BUY,483.145,13.0,365.54716666666627
META,2025-04-21 16:52:00+00:00,SELL,483.13,13.0,6646.237166666666
META,2025-04-21 17:17:00+00:00,BUY,483.085,13.0,366.1321666666663
META,2025-04-21 17:37:00+00:00,SELL,483.66,13.0,6653.712166666666
META,2025-04-21 18:01:00+00:00,BUY,483.37,13.0,369.90216666666583
META,2025-04-21 18:35:00+00:00,SELL,484.4,13.0,6667.102166666666
META,2025-04-21 18:59:00+00:00,BUY,483.26,13.0,384.72216666666554
META,2025-04-21 19:17:00+00:00,SELL,484.12,13.0,6678.282166666666
META,2025-04-21 19:18:00+00:00,BUY,484.42,13.0,380.8221666666659
META,2025-04-21 19:25:00+00:00,SELL,483.945,13.0,6672.107166666666
META,2025-04-21 19:34:00+00:00,BUY,484.42,13.0,374.6471666666657
META,2025-04-21 19:49:00+00:00,SELL,484.81,13.0,6677.1771666666655
META,2025-04-21 19:51:00+00:00,BUY,484.815,13.0,374.5821666666652
META,2025-04-21 19:53:00+00:00,SELL,484.65,13.0,6675.032166666665
META,2025-04-21 19:54:00+00:00,BUY,485.345,13.0,365.54716666666445
META,2025-04-21 20:02:00+00:00,SELL,484.39,13.0,6662.617166666664
META,2025-04-21 20:37:00+00:00,BUY,484.5,13.0,364.11716666666416
META,2025-04-21 20:51:00+00:00,SELL,484.0001,13.0,6656.118466666664
META,2025-04-21 20:58:00+00:00,BUY,484.43,13.0,358.5284666666639
META,2025-04-21 21:07:00+00:00,SELL,484.32,13.0,6654.688466666664
META,2025-04-21 21:08:00+00:00,BUY,484.32,13.0,358.5284666666639
META,2025-04-21 21:20:00+00:00,SELL,484.3789,13.0,6655.454166666664
META,2025-04-21 21:27:00+00:00,BUY,484.37,13.0,358.6441666666633
META,2025-04-21 21:28:00+00:00,SELL,484.39,13.0,6655.714166666663
META,2025-04-21 21:29:00+00:00,BUY,484.35,13.0,359.1641666666628
META,2025-04-21 21:31:00+00:00,SELL,484.02,13.0,6651.424166666663
META,2025-04-21 22:44:00+00:00,BUY,484.5,13.0,352.92416666666304
META,2025-04-22 09:46:00+00:00,SELL,488.79,13.0,6707.1941666666635
META,2025-04-22 11:02:00+00:00,BUY,488.75,13.0,353.4441666666635
META,2025-04-22 11:09:00+00:00,SELL,487.6,13.0,6692.244166666664
META,2025-04-22 11:49:00+00:00,BUY,488.75,13.0,338.49416666666366
META,2025-04-22 12:25:00+00:00,SELL,488.4,13.0,6687.6941666666635
META,2025-04-22 12:26:00+00:00,BUY,488.8,13.0,333.29416666666293
META,2025-04-22 13:13:00+00:00,SELL,490.16,13.0,6705.374166666663
