Symbol,Datetime,Action,Price,Shares,Cash_Remaining
NVDA,2025-04-21 08:27:00+00:00,BUY,99.58,66.0,94.38666666666722
NVDA,2025-04-21 08:37:00+00:00,SELL,99.36,66.0,6652.146666666667
NVDA,2025-04-21 09:04:00+00:00,BUY,99.32,66.0,97.02666666666755
NVDA,2025-04-21 09:10:00+00:00,SELL,99.15,66.0,6640.926666666668
NVDA,2025-04-21 09:26:00+00:00,BUY,99.16,66.0,96.3666666666686
NVDA,2025-04-21 09:53:00+00:00,SELL,99.14,66.0,6639.606666666668
NVDA,2025-04-21 10:40:00+00:00,BUY,98.29,67.0,54.1766666666681
NVDA,2025-04-21 10:50:00+00:00,SELL,98.24,67.0,6636.256666666668
NVDA,2025-04-21 10:54:00+00:00,BUY,98.33,67.0,48.14666666666835
NVDA,2025-04-21 11:11:00+00:00,SELL,98.53,67.0,6649.656666666669
NVDA,2025-04-21 11:32:00+00:00,BUY,98.47,67.0,52.16666666666879
NVDA,2025-04-21 11:37:00+00:00,SELL,98.33,67.0,6640.2766666666685
NVDA,2025-04-21 12:04:00+00:00,BUY,98.09,67.0,68.2466666666678
NVDA,2025-04-21 12:47:00+00:00,SELL,98.19,67.0,6646.976666666667
NVDA,2025-04-21 13:14:00+00:00,BUY,98.22,67.0,66.23666666666759
NVDA,2025-04-21 13:19:00+00:00,SELL,98.1397,67.0,6641.596566666668
NVDA,2025-04-21 13:21:00+00:00,BUY,98.42,67.0,47.45656666666764
NVDA,2025-04-21 13:37:00+00:00,SELL,97.9589,67.0,6610.702866666667
NVDA,2025-04-21 14:36:00+00:00,BUY,96.345,68.0,59.242866666667396
NVDA,2025-04-21 14:48:00+00:00,SELL,95.95,68.0,6583.842866666668
NVDA,2025-04-21 14:58:00+00:00,BUY,96.385,68.0,29.66286666666747
NVDA,2025-04-21 15:17:00+00:00,SELL,96.205,68.0,6571.602866666667
NVDA,2025-04-21 15:20:00+00:00,BUY,96.23,68.0,27.96286666666674
NVDA,2025-04-21 15:21:00+00:00,SELL,96.095,68.0,6562.422866666667
NVDA,2025-04-21 15:42:00+00:00,BUY,95.99,68.0,35.10286666666707
NVDA,2025-04-21 15:46:00+00:00,SELL,95.785,68.0,6548.482866666667
NVDA,2025-04-21 15:53:00+00:00,BUY,95.895,68.0,27.622866666667505
NVDA,2025-04-21 15:55:00+00:00,SELL,95.92,68.0,6550.182866666668
NVDA,2025-04-21 15:56:00+00:00,BUY,95.915,68.0,27.96286666666765
NVDA,2025-04-21 16:18:00+00:00,SELL,95.935,68.0,6551.542866666668
NVDA,2025-04-21 16:35:00+00:00,BUY,95.98,68.0,24.90286666666725
NVDA,2025-04-21 16:50:00+00:00,SELL,95.955,68.0,6549.842866666667
NVDA,2025-04-21 17:20:00+00:00,BUY,95.4488,68.0,59.32446666666601
NVDA,2025-04-21 17:28:00+00:00,SELL,95.4101,68.0,6547.211266666666
NVDA,2025-04-21 17:31:00+00:00,BUY,95.53,68.0,51.17126666666627
NVDA,2025-04-21 17:36:00+00:00,SELL,95.35,68.0,6534.9712666666655
NVDA,2025-04-21 17:54:00+00:00,BUY,95.2,68.0,61.37126666666518
NVDA,2025-04-21 17:58:00+00:00,SELL,95.11,68.0,6528.851266666665
NVDA,2025-04-21 18:04:00+00:00,BUY,95.23,68.0,53.211266666664415
NVDA,2025-04-21 18:24:00+00:00,SELL,95.3448,68.0,6536.657666666665
NVDA,2025-04-21 18:30:00+00:00,BUY,95.695,68.0,29.397666666665828
NVDA,2025-04-21 18:42:00+00:00,SELL,95.345,68.0,6512.857666666666
NVDA,2025-04-21 19:00:00+00:00,BUY,95.4875,68.0,19.707666666666228
NVDA,2025-04-21 19:16:00+00:00,SELL,95.515,68.0,6514.727666666667
NVDA,2025-04-21 19:20:00+00:00,BUY,95.83,67.0,94.11766666666699
NVDA,2025-04-21 19:29:00+00:00,SELL,95.6,67.0,6499.317666666667
