Symbol,Datetime,Action,Price,Shares,Cash_Remaining
QQQ,2025-04-21 08:29:00+00:00,BUY,439.43,15.0,75.21666666666715
QQQ,2025-04-21 08:47:00+00:00,SELL,439.44,15.0,6666.8166666666675
QQQ,2025-04-21 09:26:00+00:00,BUY,439.0,15.0,81.81666666666752
QQQ,2025-04-21 09:44:00+00:00,SELL,438.59,15.0,6660.666666666667
QQQ,2025-04-21 09:49:00+00:00,BUY,439.02,15.0,75.3666666666677
QQQ,2025-04-21 10:13:00+00:00,SELL,439.17,15.0,6662.916666666668
QQQ,2025-04-21 10:43:00+00:00,BUY,439.13,15.0,75.96666666666806
QQQ,2025-04-21 11:12:00+00:00,SELL,439.27,15.0,6665.016666666667
QQQ,2025-04-21 11:59:00+00:00,BUY,437.66,15.0,100.11666666666679
QQQ,2025-04-21 12:48:00+00:00,SELL,438.2177,15.0,6673.382166666666
QQQ,2025-04-21 13:23:00+00:00,BUY,437.64,15.0,108.78216666666685
QQQ,2025-04-21 13:38:00+00:00,SELL,437.26,15.0,6667.6821666666665
QQQ,2025-04-21 14:34:00+00:00,BUY,433.39,15.0,166.83216666666704
QQQ,2025-04-21 14:47:00+00:00,SELL,433.3015,15.0,6666.354666666667
QQQ,2025-04-21 15:00:00+00:00,BUY,433.8725,15.0,158.26716666666744
QQQ,2025-04-21 15:04:00+00:00,SELL,433.1144,15.0,6654.983166666667
QQQ,2025-04-21 15:12:00+00:00,BUY,433.33,15.0,155.03316666666706
QQQ,2025-04-21 15:14:00+00:00,SELL,432.45,15.0,6641.783166666667
QQQ,2025-04-21 16:02:00+00:00,BUY,430.71,15.0,181.13316666666742
QQQ,2025-04-21 16:21:00+00:00,SELL,430.86,15.0,6644.033166666668
QQQ,2025-04-21 16:32:00+00:00,BUY,431.527,15.0,171.12816666666822
QQQ,2025-04-21 16:49:00+00:00,SELL,431.2,15.0,6639.128166666668
QQQ,2025-04-21 17:21:00+00:00,BUY,429.4796,15.0,196.9341666666678
QQQ,2025-04-21 17:29:00+00:00,SELL,429.11,15.0,6633.584166666668
QQQ,2025-04-21 17:30:00+00:00,BUY,429.4242,15.0,192.22116666666898
QQQ,2025-04-21 17:37:00+00:00,SELL,429.099,15.0,6628.706166666669
QQQ,2025-04-21 18:09:00+00:00,BUY,428.39,15.0,202.8561666666692
QQQ,2025-04-21 18:41:00+00:00,SELL,428.84,15.0,6635.456166666669
QQQ,2025-04-21 19:01:00+00:00,BUY,428.9301,15.0,201.50466666666853
QQQ,2025-04-21 19:30:00+00:00,SELL,429.77,15.0,6648.054666666668
