Symbol,Datetime,Action,Price,Shares,Cash_Remaining
SPY,2025-04-21 08:42:00+00:00,BUY,521.33,12.0,410.706666666666
SPY,2025-04-21 08:50:00+00:00,SELL,521.3,12.0,6666.3066666666655
SPY,2025-04-21 09:04:00+00:00,BUY,521.13,12.0,412.746666666666
SPY,2025-04-21 09:09:00+00:00,SELL,521.02,12.0,6664.986666666666
SPY,2025-04-21 09:28:00+00:00,BUY,521.05,12.0,412.3866666666663
SPY,2025-04-21 09:40:00+00:00,SELL,520.8,12.0,6661.986666666666
SPY,2025-04-21 09:52:00+00:00,BUY,520.91,12.0,411.0666666666657
SPY,2025-04-21 10:30:00+00:00,SELL,520.75,12.0,6660.066666666666
SPY,2025-04-21 10:46:00+00:00,BUY,521.2,12.0,405.66666666666515
SPY,2025-04-21 11:15:00+00:00,SELL,521.6,12.0,6664.866666666666
SPY,2025-04-21 11:44:00+00:00,BUY,519.71,12.0,428.34666666666544
SPY,2025-04-21 11:45:00+00:00,SELL,519.721,12.0,6664.9986666666655
SPY,2025-04-21 12:00:00+00:00,BUY,520.12,12.0,423.558666666665
SPY,2025-04-21 12:52:00+00:00,SELL,520.86,12.0,6673.878666666665
SPY,2025-04-21 13:22:00+00:00,BUY,520.66,12.0,425.9586666666646
SPY,2025-04-21 13:35:00+00:00,SELL,520.13,12.0,6667.518666666664
SPY,2025-04-21 14:36:00+00:00,BUY,516.1,12.0,474.3186666666634
SPY,2025-04-21 14:46:00+00:00,SELL,515.3396,12.0,6658.393866666664
SPY,2025-04-21 16:03:00+00:00,BUY,511.54,13.0,8.373866666663162
SPY,2025-04-21 16:19:00+00:00,SELL,511.65,13.0,6659.823866666663
SPY,2025-04-21 16:32:00+00:00,BUY,512.5294,12.0,509.4710666666624
SPY,2025-04-21 16:49:00+00:00,SELL,512.3,12.0,6657.071066666662
SPY,2025-04-21 17:21:00+00:00,BUY,510.42,13.0,21.611066666661827
SPY,2025-04-21 17:28:00+00:00,SELL,509.8742,13.0,6649.975666666662
SPY,2025-04-21 17:30:00+00:00,BUY,510.31,13.0,15.945666666661964
SPY,2025-04-21 17:36:00+00:00,SELL,510.4,13.0,6651.145666666662
SPY,2025-04-21 18:14:00+00:00,BUY,508.96,13.0,34.66566666666222
SPY,2025-04-21 18:42:00+00:00,SELL,509.56,13.0,6658.945666666662
SPY,2025-04-21 19:02:00+00:00,BUY,509.69,13.0,32.97566666666171
SPY,2025-04-21 19:30:00+00:00,SELL,510.38,13.0,6667.915666666661
SPY,2025-04-21 19:33:00+00:00,BUY,510.84,13.0,26.995666666661236
SPY,2025-04-21 20:07:00+00:00,SELL,513.91,13.0,6707.825666666661
SPY,2025-04-21 20:09:00+00:00,BUY,513.79,13.0,28.555666666661637
SPY,2025-04-21 20:13:00+00:00,SELL,513.56,13.0,6704.8356666666605
SPY,2025-04-21 20:34:00+00:00,BUY,513.62,13.0,27.775666666660072
SPY,2025-04-21 21:07:00+00:00,SELL,513.89,13.0,6708.34566666666
SPY,2025-04-21 21:08:00+00:00,BUY,513.94,13.0,27.125666666658617
SPY,2025-04-21 21:32:00+00:00,SELL,513.85,13.0,6707.175666666659
