Symbol,Datetime,Action,Price,Shares,Cash_Remaining,Market_VWAP,Slippage,Participation_Rate
AAPL,2025-04-21 09:31:00+00:00,BUY,193.95,34.0,72.3666666666677,193.95,0.0,0.06868686868686869
AAPL,2025-04-21 10:23:00+00:00,SELL,194.22,34.0,6675.846666666667,194.22,0.0,0.07234042553191489
AAPL,2025-04-21 12:05:00+00:00,BUY,192.1,34.0,144.44666666666762,192.1,0.0,0.05714285714285714
AAPL,2025-04-21 12:11:00+00:00,SELL,191.8,34.0,6665.646666666668,191.8,0.0,0.018056293149229952
AAPL,2025-04-21 12:25:00+00:00,BUY,191.95,34.0,139.34666666666908,191.95,0.0,0.0407673860911271
AAPL,2025-04-21 12:27:00+00:00,SELL,191.9045,34.0,6664.09966666667,191.9045,0.0,0.08478802992518704
AAPL,2025-04-21 12:29:00+00:00,BUY,191.9999,34.0,136.1030666666702,191.99990000000003,-9.663381206337363e-13,0.044854881266490766
AAPL,2025-04-21 12:46:00+00:00,SELL,191.98,34.0,6663.42306666667,191.98,0.0,0.01925254813137033
AAPL,2025-04-21 13:14:00+00:00,BUY,191.87,34.0,139.84306666666998,191.87000000000003,-9.663381206337363e-13,0.022207707380796866
AAPL,2025-04-21 13:45:00+00:00,SELL,193.02,34.0,6702.52306666667,193.02,0.0,0.0003261922807556148
AAPL,2025-04-21 13:50:00+00:00,BUY,193.56,34.0,121.48306666667033,193.56,0.0,0.0003293871461510143
AAPL,2025-04-21 13:55:00+00:00,SELL,193.03,34.0,6684.503066666671,193.03,0.0,0.00034697418103888153
AAPL,2025-04-21 14:13:00+00:00,BUY,192.505,34.0,139.33306666667067,192.505,0.0,0.0003990282488527938
AAPL,2025-04-21 14:20:00+00:00,SELL,192.055,34.0,6669.203066666671,192.055,0.0,0.0005243110706740482
AAPL,2025-04-21 14:21:00+00:00,BUY,192.3599,34.0,128.9664666666704,192.3599,0.0,0.0004659257533608321
AAPL,2025-04-21 14:30:00+00:00,SELL,191.94,34.0,6654.92646666667,191.94000000000003,-9.663381206337363e-13,0.00036515164533035483
AAPL,2025-04-21 14:39:00+00:00,BUY,192.2571,34.0,118.18506666667054,192.2571,0.0,0.000598001969888842
AAPL,2025-04-21 14:45:00+00:00,SELL,191.885,34.0,6642.275066666671,191.885,0.0,0.0003967050148180991
AAPL,2025-04-21 15:08:00+00:00,BUY,191.815,34.0,120.56506666667065,191.815,0.0,0.0003590171377886656
AAPL,2025-04-21 15:15:00+00:00,SELL,191.18,34.0,6620.685066666671,191.18,0.0,0.00042063590251144377
AAPL,2025-04-21 15:54:00+00:00,BUY,190.19,34.0,154.2250666666705,190.19,0.0,0.0005393144361784814
AAPL,2025-04-21 15:55:00+00:00,SELL,190.16,34.0,6619.66506666667,190.16,0.0,0.00040061270177919173
AAPL,2025-04-21 16:00:00+00:00,BUY,190.41,34.0,145.7250666666705,190.41,0.0,0.00041057347453840674
AAPL,2025-04-21 16:44:00+00:00,SELL,191.23,34.0,6647.54506666667,191.23,0.0,0.000449616503570484
AAPL,2025-04-21 17:20:00+00:00,BUY,190.7,34.0,163.74506666667094,190.7,0.0,0.0005767012687427913
AAPL,2025-04-21 17:41:00+00:00,SELL,190.71,34.0,6647.885066666671,190.71,0.0,0.0006606174830473896
AAPL,2025-04-21 18:13:00+00:00,BUY,190.5112,34.0,170.50426666667136,190.5112,0.0,0.001183267209577504
AAPL,2025-04-21 18:41:00+00:00,SELL,190.69,34.0,6653.964266666671,190.69,0.0,0.0004505758093799282
AAPL,2025-04-21 19:02:00+00:00,BUY,190.6289,34.0,172.58166666667148,190.6289,0.0,0.000628721476385961
AAPL,2025-04-21 20:12:00+00:00,SELL,192.83,34.0,6728.801666666672,192.83,0.0,0.04101326899879373
AAPL,2025-04-21 20:21:00+00:00,BUY,193.16,34.0,161.36166666667214,193.16,0.0,0.011060507482108002
AAPL,2025-04-21 20:28:00+00:00,SELL,192.65,34.0,6711.4616666666725,192.65000000000003,-9.663381206337363e-13,0.022911051212938006
AAPL,2025-04-21 20:33:00+00:00,BUY,193.16,34.0,144.0216666666729,193.16,0.0,0.003267659778952427
AAPL,2025-04-21 20:37:00+00:00,SELL,192.63,34.0,6693.441666666673,192.63,0.0,0.04941860465116279
AAPL,2025-04-21 20:53:00+00:00,BUY,193.0,34.0,131.44166666667297,193.0,0.0,0.015910154422087038
AAPL,2025-04-21 21:12:00+00:00,SELL,192.7,34.0,6683.241666666672,192.7,0.0,0.05695142378559464
AAPL,2025-04-21 21:54:00+00:00,BUY,192.9886,34.0,121.62926666667228,192.9886,0.0,0.03985932004689332
AAPL,2025-04-21 22:07:00+00:00,SELL,192.82,34.0,6677.509266666672,192.82,0.0,0.07327586206896551
AAPL,2025-04-21 22:38:00+00:00,BUY,192.6774,34.0,126.47766666667212,192.6774,0.0,0.06476190476190476
AAPL,2025-04-21 23:16:00+00:00,SELL,192.6115,34.0,6675.268666666672,192.6115,0.0,0.2085889570552147
AAPL,2025-04-21 23:42:00+00:00,BUY,192.99,34.0,113.60866666667243,192.99,0.0,0.10897435897435898
AAPL,2025-04-22 09:02:00+00:00,SELL,195.39,34.0,6756.868666666672,195.39,0.0,0.06415094339622641
AAPL,2025-04-22 09:06:00+00:00,BUY,195.46,34.0,111.22866666667142,195.45999999999998,9.663381206337363e-13,0.08970976253298153
AAPL,2025-04-22 09:16:00+00:00,SELL,195.26,34.0,6750.068666666672,195.25999999999996,9.663381206337363e-13,0.04398447606727038
AAPL,2025-04-22 09:41:00+00:00,BUY,195.26,34.0,111.22866666667142,195.26,0.0,0.07674943566591422
AAPL,2025-04-22 09:43:00+00:00,SELL,195.0,34.0,6741.228666666671,195.0,0.0,0.013759611493322542
AAPL,2025-04-22 10:59:00+00:00,BUY,195.2,34.0,104.42866666667214,195.2,0.0,0.025914634146341462
