Symbol,Datetime,Action,Price,Shares,Cash_Remaining,Market_VWAP,Slippage,Participation_Rate
BAC,2025-04-21 11:01:00+00:00,BUY,36.95,180.0,15.66666666666606,36.95,0.0,0.2843601895734597
BAC,2025-04-21 12:00:00+00:00,SELL,36.87,180.0,6652.2666666666655,36.87,0.0,0.011451838656317598
BAC,2025-04-21 12:19:00+00:00,BUY,36.9001,180.0,10.248666666665486,36.9001,0.0,0.9
BAC,2025-04-21 13:02:00+00:00,SELL,36.9023,180.0,6652.662666666665,36.9023,0.0,0.08174386920980926
BAC,2025-04-21 13:22:00+00:00,BUY,36.95,180.0,1.662666666664336,36.95,0.0,0.29654036243822074
BAC,2025-04-21 13:38:00+00:00,SELL,36.87,180.0,6638.262666666664,36.87,0.0,0.0013122881201472678
BAC,2025-04-21 13:48:00+00:00,BUY,37.06,179.0,4.522666666663099,37.06,0.0,0.000909548223840326
BAC,2025-04-21 14:00:00+00:00,SELL,36.925,179.0,6614.097666666663,36.925,0.0,0.0015772870662460567
BAC,2025-04-21 14:15:00+00:00,BUY,36.92,179.0,5.417666666662626,36.92,0.0,0.003770087828303039
BAC,2025-04-21 14:16:00+00:00,SELL,36.8499,179.0,6601.549766666662,36.8499,0.0,0.0012631608660061534
BAC,2025-04-21 14:32:00+00:00,BUY,36.85,179.0,5.39976666666189,36.85,0.0,0.006123635866032637
BAC,2025-04-21 14:45:00+00:00,SELL,36.88,179.0,6606.919766666662,36.88,0.0,0.0034173348606338296
BAC,2025-04-21 15:18:00+00:00,BUY,36.745,179.0,29.564766666662763,36.745,0.0,0.004062549647080184
BAC,2025-04-21 15:29:00+00:00,SELL,36.685,179.0,6596.179766666663,36.685,0.0,0.00813045058139535
BAC,2025-04-21 15:53:00+00:00,BUY,36.6,180.0,8.179766666663454,36.6,0.0,0.002856553409613889
BAC,2025-04-21 15:54:00+00:00,SELL,36.56,180.0,6588.979766666664,36.56,0.0,0.0017367811655731378
BAC,2025-04-21 16:03:00+00:00,BUY,36.62,179.0,33.99976666666407,36.62,0.0,0.0013403721591972743
BAC,2025-04-21 16:27:00+00:00,SELL,36.685,179.0,6600.614766666665,36.685,0.0,0.004359473940574768
BAC,2025-04-21 16:32:00+00:00,BUY,36.755,179.0,21.469766666664327,36.755,0.0,0.0023725893034661012
BAC,2025-04-21 16:50:00+00:00,SELL,36.765,179.0,6602.404766666665,36.765,0.0,0.002379180179701207
