Symbol,Datetime,Action,Price,Shares,Cash_Remaining,Market_VWAP,Slippage,Participation_Rate
META,2025-04-21 10:26:00+00:00,BUY,495.3,13.0,227.7666666666664,495.29999999999995,7.389644451905042e-13,0.040880503144654086
META,2025-04-21 11:12:00+00:00,SELL,494.7,13.0,6658.866666666666,494.7,0.0,0.004703328509406657
META,2025-04-21 12:12:00+00:00,BUY,492.5,13.0,256.3666666666659,492.5,0.0,0.004863449307893753
META,2025-04-21 12:14:00+00:00,SELL,492.0,13.0,6652.366666666666,492.0,0.0,0.01742627345844504
META,2025-04-21 12:24:00+00:00,BUY,493.4,13.0,238.1666666666661,493.4,0.0,0.005553182400683468
META,2025-04-21 12:44:00+00:00,SELL,492.51,13.0,6640.796666666666,492.51,0.0,0.008253968253968255
META,2025-04-21 13:30:00+00:00,BUY,490.26,13.0,267.41666666666606,490.26,0.0,4.401870456338524e-05
META,2025-04-21 13:41:00+00:00,SELL,490.9585,13.0,6649.877166666666,490.9585,0.0,0.0002737937280175228
META,2025-04-21 14:13:00+00:00,BUY,485.92,13.0,332.91716666666616,485.92,0.0,0.0003226126662696049
META,2025-04-21 14:28:00+00:00,SELL,484.89,13.0,6636.487166666666,484.89,0.0,0.00038994540764293
META,2025-04-21 14:37:00+00:00,BUY,485.39,13.0,326.41716666666616,485.39000000000004,-7.389644451905042e-13,0.0002577370685382343
META,2025-04-21 14:47:00+00:00,SELL,484.94,13.0,6630.637166666666,484.94,0.0,0.00038500266540306816
META,2025-04-21 14:49:00+00:00,BUY,484.7,13.0,329.53716666666696,484.7,0.0,0.00045192240839880414
META,2025-04-21 14:51:00+00:00,SELL,485.2099,13.0,6637.265866666667,485.2099,0.0,0.00050625024338954
META,2025-04-21 14:54:00+00:00,BUY,485.42,13.0,326.8058666666666,485.42,0.0,0.0005030570389288754
META,2025-04-21 15:13:00+00:00,SELL,484.9801,13.0,6631.547166666666,484.9801,0.0,0.0004767842734541187
META,2025-04-21 15:57:00+00:00,BUY,481.6,13.0,370.7471666666661,481.6000000000001,-7.389644451905042e-13,0.0004926855150458576
META,2025-04-21 16:21:00+00:00,SELL,482.745,13.0,6646.4321666666665,482.745,0.0,0.0006955963400931029
META,2025-04-21 16:33:00+00:00,BUY,483.145,13.0,365.5471666666663,483.145,0.0,0.00043649061545176777
META,2025-04-21 16:52:00+00:00,SELL,483.13,13.0,6646.237166666666,483.13,0.0,0.0010166575428169234
META,2025-04-21 17:17:00+00:00,BUY,483.085,13.0,366.1321666666663,483.085,0.0,0.0006728430205475907
META,2025-04-21 17:37:00+00:00,SELL,483.66,13.0,6653.712166666666,483.66,0.0,0.0012213453588876362
META,2025-04-21 18:01:00+00:00,BUY,483.37,13.0,369.9021666666658,483.37,0.0,0.0007267035608474481
META,2025-04-21 18:35:00+00:00,SELL,484.4,13.0,6667.102166666666,484.3999999999999,7.389644451905042e-13,0.000693259385665529
META,2025-04-21 18:59:00+00:00,BUY,483.26,13.0,384.7221666666656,483.26,0.0,0.0012027014524932926
META,2025-04-21 19:17:00+00:00,SELL,484.12,13.0,6678.282166666666,484.12,0.0,0.00047831046028183524
META,2025-04-21 19:18:00+00:00,BUY,484.42,13.0,380.8221666666659,484.42,0.0,0.0006154720196951046
META,2025-04-21 19:25:00+00:00,SELL,483.945,13.0,6672.107166666666,483.94500000000005,-7.389644451905042e-13,0.0005721579155847014
META,2025-04-21 19:34:00+00:00,BUY,484.42,13.0,374.6471666666657,484.42,0.0,0.0006396378665617004
META,2025-04-21 19:49:00+00:00,SELL,484.81,13.0,6677.1771666666655,484.81,0.0,0.0002788981378185875
META,2025-04-21 19:51:00+00:00,BUY,484.815,13.0,374.5821666666652,484.815,0.0,0.00020274485339987524
META,2025-04-21 19:53:00+00:00,SELL,484.65,13.0,6675.032166666665,484.65,0.0,0.00016622765516712272
META,2025-04-21 19:54:00+00:00,BUY,485.345,13.0,365.54716666666445,485.345,0.0,0.00010868929076057422
META,2025-04-21 20:02:00+00:00,SELL,484.39,13.0,6662.617166666664,484.39,0.0,0.0015611865017413234
META,2025-04-21 20:37:00+00:00,BUY,484.5,13.0,364.11716666666416,484.5,0.0,0.050387596899224806
META,2025-04-21 20:51:00+00:00,SELL,484.0001,13.0,6656.118466666664,484.0001,0.0,0.004188144329896907
META,2025-04-21 20:58:00+00:00,BUY,484.43,13.0,358.5284666666639,484.43,0.0,0.018361581920903956
META,2025-04-21 21:07:00+00:00,SELL,484.32,13.0,6654.688466666664,484.32,0.0,0.09154929577464789
META,2025-04-21 21:08:00+00:00,BUY,484.32,13.0,358.5284666666639,484.31999999999994,7.389644451905042e-13,0.03651685393258427
META,2025-04-21 21:20:00+00:00,SELL,484.3789,13.0,6655.454166666664,484.3789,0.0,0.036619718309859155
META,2025-04-21 21:27:00+00:00,BUY,484.37,13.0,358.6441666666633,484.37,0.0,0.04529616724738676
META,2025-04-21 21:28:00+00:00,SELL,484.39,13.0,6655.714166666663,484.39,0.0,0.0377906976744186
META,2025-04-21 21:29:00+00:00,BUY,484.35,13.0,359.1641666666628,484.3500000000001,-7.389644451905042e-13,0.02145214521452145
META,2025-04-21 21:31:00+00:00,SELL,484.02,13.0,6651.424166666663,484.02,0.0,0.02462121212121212
META,2025-04-21 22:44:00+00:00,BUY,484.5,13.0,352.92416666666304,484.5,0.0,0.004058694973462379
META,2025-04-22 09:46:00+00:00,SELL,488.79,13.0,6707.194166666664,488.79,0.0,0.04642857142857143
META,2025-04-22 11:02:00+00:00,BUY,488.75,13.0,353.4441666666635,488.75,0.0,0.02524271844660194
META,2025-04-22 11:09:00+00:00,SELL,487.6,13.0,6692.244166666664,487.6000000000001,-7.389644451905042e-13,0.015513126491646777
META,2025-04-22 11:49:00+00:00,BUY,488.75,13.0,338.49416666666366,488.75,0.0,0.03225806451612903
META,2025-04-22 12:25:00+00:00,SELL,488.4,13.0,6687.694166666664,488.4,0.0,0.011073253833049404
META,2025-04-22 12:26:00+00:00,BUY,488.8,13.0,333.29416666666293,488.80000000000007,-7.389644451905042e-13,0.022530329289428077
META,2025-04-22 13:13:00+00:00,SELL,490.16,13.0,6705.374166666663,490.16,0.0,0.005508474576271186
META,2025-04-22 13:26:00+00:00,BUY,490.93,13.0,323.2841666666627,490.93,0.0,0.0214168039538715
META,2025-04-22 13:34:00+00:00,SELL,488.1701,13.0,6669.495466666663,488.1701,0.0,0.0005029597245328278
META,2025-04-22 13:43:00+00:00,BUY,490.98,13.0,286.75546666666287,490.98,0.0,0.0003576341127922971
META,2025-04-22 14:16:00+00:00,SELL,490.775,13.0,6666.830466666663,490.7749999999999,7.389644451905042e-13,0.0003234715967055662
META,2025-04-22 14:40:00+00:00,BUY,488.81,13.0,312.30046666666294,488.81,0.0,0.00019005292242916874
META,2025-04-22 15:32:00+00:00,SELL,495.7002,13.0,6756.403066666663,495.7002,0.0,0.0005493112482041748
META,2025-04-22 15:53:00+00:00,BUY,494.9599,13.0,321.92436666666345,494.9599,0.0,0.0009525205158264947
META,2025-04-22 16:34:00+00:00,SELL,504.405,13.0,6879.189366666663,504.405,0.0,0.00019072210322467064
META,2025-04-22 17:03:00+00:00,BUY,502.12,13.0,351.62936666666246,502.12,0.0,0.0011729676080483623
META,2025-04-22 17:10:00+00:00,SELL,500.495,13.0,6858.064366666663,500.49500000000006,-7.389644451905042e-13,0.0005829857841158796
META,2025-04-22 17:35:00+00:00,BUY,496.84,13.0,399.1443666666628,496.84,0.0,0.0008824327993483573
META,2025-04-22 17:47:00+00:00,SELL,495.925,13.0,6846.169366666663,495.925,0.0,0.0008331197128941297
META,2025-04-22 18:05:00+00:00,BUY,496.64,13.0,389.8493666666636,496.64,0.0,0.0003762227238525207
META,2025-04-22 19:02:00+00:00,SELL,498.57,13.0,6871.259366666664,498.57000000000005,-7.389644451905042e-13,0.0007059462394786858
META,2025-04-22 19:33:00+00:00,BUY,496.24,13.0,420.1393666666636,496.24,0.0,0.000620436214384575
META,2025-04-22 20:12:00+00:00,SELL,499.56,13.0,6914.419366666663,499.56,0.0,0.023679417122040074
META,2025-04-22 20:31:00+00:00,BUY,500.31,13.0,410.3893666666636,500.30999999999995,7.389644451905042e-13,0.021311475409836064
META,2025-04-22 21:13:00+00:00,SELL,500.5,13.0,6916.889366666664,500.5,0.0,0.040625
META,2025-04-22 21:21:00+00:00,BUY,502.37,13.0,386.0793666666632,502.37,0.0,0.007985257985257985
META,2025-04-22 21:51:00+00:00,SELL,512.25,13.0,7045.329366666663,512.25,0.0,0.0037174721189591076
META,2025-04-22 21:53:00+00:00,BUY,512.7946,13.0,378.99956666666367,512.7946,0.0,0.003058823529411765
META,2025-04-22 22:19:00+00:00,SELL,514.5,13.0,7067.499566666664,514.5,0.0,0.014508928571428572
META,2025-04-22 22:27:00+00:00,BUY,515.32,13.0,368.3395666666629,515.32,0.0,0.004789977892409728
META,2025-04-22 23:22:00+00:00,SELL,520.16,13.0,7130.419566666663,520.16,0.0,0.009715994020926755
META,2025-04-22 23:57:00+00:00,BUY,520.0,13.0,370.4195666666628,520.0,0.0,0.011828935395814377
META,2025-04-23 08:25:00+00:00,SELL,519.82,13.0,7128.079566666664,519.82,0.0,0.0248565965583174
META,2025-04-23 08:46:00+00:00,BUY,519.5,13.0,374.5795666666636,519.5,0.0,0.013903743315508022
META,2025-04-23 08:50:00+00:00,SELL,519.76,13.0,7131.459566666664,519.76,0.0,0.016129032258064516
META,2025-04-23 09:50:00+00:00,BUY,519.02,13.0,384.1995666666635,519.02,0.0,0.02857142857142857
META,2025-04-23 09:51:00+00:00,SELL,519.0,13.0,7131.199566666664,519.0,0.0,0.024761904761904763
META,2025-04-23 10:00:00+00:00,BUY,520.04,13.0,370.679566666664,520.04,0.0,0.0029693924166285975
META,2025-04-23 11:16:00+00:00,SELL,524.4,13.0,7187.879566666664,524.4,0.0,0.03002309468822171
META,2025-04-23 11:38:00+00:00,BUY,524.67,13.0,367.1695666666647,524.67,0.0,0.008632138114209827
META,2025-04-23 12:00:00+00:00,SELL,518.0,13.0,7101.169566666665,518.0,0.0,0.00014316865267284862
META,2025-04-23 12:05:00+00:00,BUY,525.1045,13.0,274.8110666666644,525.1045,0.0,0.006262042389210019
META,2025-04-23 12:06:00+00:00,SELL,522.51,13.0,7067.4410666666645,522.51,0.0,0.0017876787678767878
META,2025-04-23 12:15:00+00:00,BUY,524.3,13.0,251.54106666666485,524.3,0.0,0.02268760907504363
META,2025-04-23 12:55:00+00:00,SELL,526.33,13.0,7093.831066666666,526.33,0.0,0.002247579529737206
META,2025-04-23 13:06:00+00:00,BUY,527.8985,13.0,231.15056666666533,527.8985,0.0,0.0057445868316394165
META,2025-04-23 13:08:00+00:00,SELL,526.5,13.0,7075.650566666665,526.5,0.0,0.0022214627477785374
META,2025-04-23 13:17:00+00:00,BUY,528.68,13.0,202.8105666666661,528.68,0.0,0.005453020134228188
META,2025-04-23 13:40:00+00:00,SELL,529.02,13.0,7080.070566666666,529.02,0.0,0.00011401108538553288
META,2025-04-23 13:41:00+00:00,BUY,530.42,13.0,184.6105666666672,530.42,0.0,0.00017208742040956807
META,2025-04-23 13:42:00+00:00,SELL,530.11,13.0,7076.040566666668,530.11,0.0,0.00012763868433971528
META,2025-04-23 13:44:00+00:00,BUY,531.51,13.0,166.41056666666736,531.51,0.0,0.00011488361406175436
