Symbol,Datetime,Action,Price,Shares,Cash_Remaining,Market_VWAP,Slippage,Participation_Rate
NVDA,2025-04-21 08:27:00+00:00,BUY,99.58,66.0,94.38666666666722,99.58,0.0,0.002418556927699806
NVDA,2025-04-21 08:37:00+00:00,SELL,99.36,66.0,6652.146666666667,99.35999999999999,9.379164112033322e-13,0.0054694621695533276
NVDA,2025-04-21 09:04:00+00:00,BUY,99.32,66.0,97.02666666666757,99.32,0.0,0.002691680261011419
NVDA,2025-04-21 09:10:00+00:00,SELL,99.15,66.0,6640.926666666668,99.15,0.0,0.0031547249175469623
NVDA,2025-04-21 09:26:00+00:00,BUY,99.16,66.0,96.3666666666686,99.15999999999998,9.379164112033322e-13,0.002973240832507433
NVDA,2025-04-21 09:53:00+00:00,SELL,99.14,66.0,6639.606666666668,99.14,0.0,0.03403816400206292
NVDA,2025-04-21 10:40:00+00:00,BUY,98.29,67.0,54.1766666666681,98.29,0.0,0.009994033412887827
NVDA,2025-04-21 10:50:00+00:00,SELL,98.24,67.0,6636.256666666668,98.24,0.0,0.013405362144857944
NVDA,2025-04-21 10:54:00+00:00,BUY,98.33,67.0,48.14666666666835,98.33,0.0,0.016203143893591294
NVDA,2025-04-21 11:11:00+00:00,SELL,98.53,67.0,6649.656666666669,98.53,0.0,0.0026037618529457483
NVDA,2025-04-21 11:32:00+00:00,BUY,98.47,67.0,52.16666666666879,98.47,0.0,0.004327047274606045
NVDA,2025-04-21 11:37:00+00:00,SELL,98.33,67.0,6640.2766666666685,98.33,0.0,0.0024396460692568183
NVDA,2025-04-21 12:04:00+00:00,BUY,98.09,67.0,68.2466666666678,98.09,0.0,0.0020374650285853303
NVDA,2025-04-21 12:47:00+00:00,SELL,98.19,67.0,6646.976666666667,98.19,0.0,0.003104151223128243
NVDA,2025-04-21 13:14:00+00:00,BUY,98.22,67.0,66.23666666666759,98.22,0.0,0.00359828141783029
NVDA,2025-04-21 13:19:00+00:00,SELL,98.1397,67.0,6641.596566666668,98.1397,0.0,0.0019087775277057634
NVDA,2025-04-21 13:21:00+00:00,BUY,98.42,67.0,47.45656666666764,98.42,0.0,0.0009831254585473221
NVDA,2025-04-21 13:37:00+00:00,SELL,97.9589,67.0,6610.702866666667,97.9589,0.0,2.7645841095831625e-05
NVDA,2025-04-21 14:36:00+00:00,BUY,96.345,68.0,59.2428666666674,96.345,0.0,7.526311653497466e-05
NVDA,2025-04-21 14:48:00+00:00,SELL,95.95,68.0,6583.842866666668,95.95,0.0,0.00010865049691624325
NVDA,2025-04-21 14:58:00+00:00,BUY,96.385,68.0,29.66286666666747,96.385,0.0,0.000126914448463402
NVDA,2025-04-21 15:17:00+00:00,SELL,96.205,68.0,6571.602866666667,96.20499999999998,9.663381206337363e-13,0.00018824936396630336
NVDA,2025-04-21 15:20:00+00:00,BUY,96.23,68.0,27.96286666666674,96.23,0.0,0.0001976192690411978
NVDA,2025-04-21 15:21:00+00:00,SELL,96.095,68.0,6562.422866666667,96.095,0.0,0.00011911789693849488
NVDA,2025-04-21 15:42:00+00:00,BUY,95.99,68.0,35.10286666666707,95.99,0.0,0.00019260127853260484
NVDA,2025-04-21 15:46:00+00:00,SELL,95.785,68.0,6548.482866666667,95.785,0.0,0.00010829491252796955
NVDA,2025-04-21 15:53:00+00:00,BUY,95.895,68.0,27.622866666667505,95.895,0.0,0.00019882227043337407
NVDA,2025-04-21 15:55:00+00:00,SELL,95.92,68.0,6550.182866666668,95.92,0.0,0.0002014719302196044
NVDA,2025-04-21 15:56:00+00:00,BUY,95.915,68.0,27.96286666666765,95.915,0.0,0.000291069724040219
NVDA,2025-04-21 16:18:00+00:00,SELL,95.935,68.0,6551.542866666668,95.935,0.0,0.00011233931760472751
NVDA,2025-04-21 16:35:00+00:00,BUY,95.98,68.0,24.90286666666725,95.98,0.0,0.00029328801745926315
NVDA,2025-04-21 16:50:00+00:00,SELL,95.955,68.0,6549.842866666667,95.955,0.0,0.00013434699457870363
NVDA,2025-04-21 17:20:00+00:00,BUY,95.4488,68.0,59.32446666666601,95.4488,0.0,0.00020057695370801894
NVDA,2025-04-21 17:28:00+00:00,SELL,95.4101,68.0,6547.211266666666,95.4101,0.0,0.00018332349317524377
NVDA,2025-04-21 17:31:00+00:00,BUY,95.53,68.0,51.17126666666627,95.52999999999999,9.663381206337363e-13,7.58086722891432e-05
NVDA,2025-04-21 17:36:00+00:00,SELL,95.35,68.0,6534.9712666666655,95.35,0.0,0.00031724260194917586
NVDA,2025-04-21 17:54:00+00:00,BUY,95.2,68.0,61.37126666666518,95.2,0.0,0.0003808969001714036
NVDA,2025-04-21 17:58:00+00:00,SELL,95.11,68.0,6528.851266666665,95.11,0.0,0.00022947234858199586
NVDA,2025-04-21 18:04:00+00:00,BUY,95.23,68.0,53.211266666664415,95.23,0.0,0.00021335809960685632
NVDA,2025-04-21 18:24:00+00:00,SELL,95.3448,68.0,6536.657666666665,95.3448,0.0,0.00032951004763358483
NVDA,2025-04-21 18:30:00+00:00,BUY,95.695,68.0,29.397666666665828,95.69500000000001,-9.663381206337363e-13,0.0001415631486142425
NVDA,2025-04-21 18:42:00+00:00,SELL,95.345,68.0,6512.857666666666,95.34500000000001,-9.663381206337363e-13,0.00019215607594686319
NVDA,2025-04-21 19:00:00+00:00,BUY,95.4875,68.0,19.707666666666228,95.4875,0.0,0.00013649082099228828
NVDA,2025-04-21 19:16:00+00:00,SELL,95.515,68.0,6514.727666666667,95.515,0.0,0.0001677724019333302
NVDA,2025-04-21 19:20:00+00:00,BUY,95.83,67.0,94.117666666667,95.83,0.0,9.763902996352381e-05
NVDA,2025-04-21 19:29:00+00:00,SELL,95.6,67.0,6499.317666666667,95.6,0.0,0.0001181962198379124
NVDA,2025-04-21 19:33:00+00:00,BUY,95.82,67.0,79.37766666666721,95.82,0.0,0.000156735778567435
NVDA,2025-04-21 20:12:00+00:00,SELL,96.7108,67.0,6559.001266666668,96.7108,0.0,0.005401483392454047
NVDA,2025-04-21 20:29:00+00:00,BUY,96.6799,67.0,81.44796666666753,96.6799,0.0,0.01823625476320087
NVDA,2025-04-21 20:31:00+00:00,SELL,96.63,67.0,6555.657966666668,96.63,0.0,0.004844540853217643
NVDA,2025-04-21 20:34:00+00:00,BUY,96.91,67.0,62.68796666666822,96.91,0.0,0.0025530617688526466
NVDA,2025-04-21 20:38:00+00:00,SELL,96.43,67.0,6523.497966666669,96.43000000000002,-9.521272659185342e-13,0.0013940037034725257
NVDA,2025-04-21 21:01:00+00:00,BUY,96.41,67.0,64.02796666666927,96.41,0.0,0.001862456218379941
NVDA,2025-04-21 21:14:00+00:00,SELL,96.3,67.0,6516.127966666669,96.3,0.0,0.011247272116837334
NVDA,2025-04-21 21:31:00+00:00,BUY,96.2601,67.0,66.70126666666874,96.2601,0.0,0.016210984756835228
NVDA,2025-04-21 21:35:00+00:00,SELL,96.28,67.0,6517.461266666669,96.28,0.0,0.013557264265479563
NVDA,2025-04-21 21:36:00+00:00,BUY,96.2997,67.0,65.38136666666924,96.2997,0.0,0.007514580529385375
NVDA,2025-04-21 21:53:00+00:00,SELL,96.3007,67.0,6517.52826666667,96.3007,0.0,0.039621525724423415
NVDA,2025-04-21 22:02:00+00:00,BUY,96.3,67.0,65.42826666667042,96.3,0.0,0.019665394775462284
NVDA,2025-04-21 22:03:00+00:00,SELL,96.281,67.0,6516.255266666671,96.281,0.0,0.017470664928292048
NVDA,2025-04-21 22:32:00+00:00,BUY,96.17,67.0,72.86526666667032,96.17000000000002,-9.521272659185342e-13,0.005731884677902302
NVDA,2025-04-21 22:49:00+00:00,SELL,96.13,67.0,6513.57526666667,96.13,0.0,0.007482689300871119
NVDA,2025-04-21 23:12:00+00:00,BUY,96.1399,67.0,72.20196666667016,96.1399,0.0,0.008646276938959866
NVDA,2025-04-21 23:25:00+00:00,SELL,96.05,67.0,6507.55196666667,96.05,0.0,0.0051388249731553915
NVDA,2025-04-21 23:29:00+00:00,BUY,96.08,67.0,70.19196666666994,96.07999999999998,9.521272659185342e-13,0.011609773002945764
NVDA,2025-04-21 23:31:00+00:00,SELL,96.0605,67.0,6506.24546666667,96.0605,0.0,0.021062558943728386
NVDA,2025-04-21 23:39:00+00:00,BUY,96.2,67.0,60.84546666666938,96.2,0.0,0.004318958293044543
NVDA,2025-04-22 08:19:00+00:00,SELL,97.94,67.0,6622.825466666669,97.94,0.0,0.009337979094076656
NVDA,2025-04-22 08:20:00+00:00,BUY,97.95,67.0,60.1754666666684,97.95,0.0,0.005386285071147199
NVDA,2025-04-22 08:49:00+00:00,SELL,97.97,67.0,6624.165466666668,97.97,0.0,0.004607344244258012
NVDA,2025-04-22 08:55:00+00:00,BUY,98.12,67.0,50.12546666666822,98.12,0.0,0.019225251076040173
NVDA,2025-04-22 08:58:00+00:00,SELL,98.09,67.0,6622.155466666669,98.09,0.0,0.03500522466039707
NVDA,2025-04-22 09:00:00+00:00,BUY,98.15,67.0,46.10546666666869,98.15,0.0,0.007908404154863078
NVDA,2025-04-22 09:20:00+00:00,SELL,98.11,67.0,6619.475466666669,98.11,0.0,0.006369426751592357
NVDA,2025-04-22 09:26:00+00:00,BUY,98.42,67.0,25.335466666668253,98.42,0.0,0.003741553582397945
NVDA,2025-04-22 09:41:00+00:00,SELL,98.27,67.0,6609.425466666668,98.27,0.0,0.009809663250366031
NVDA,2025-04-22 09:54:00+00:00,BUY,98.28,67.0,24.66546666666818,98.28,0.0,0.012769201448446732
NVDA,2025-04-22 09:56:00+00:00,SELL,98.22,67.0,6605.405466666668,98.22,0.0,0.008086904043452022
NVDA,2025-04-22 10:09:00+00:00,BUY,98.27,67.0,21.315466666667817,98.27,0.0,0.01475445937018278
NVDA,2025-04-22 10:20:00+00:00,SELL,98.21,67.0,6601.385466666668,98.21,0.0,0.02471412762818148
NVDA,2025-04-22 10:42:00+00:00,BUY,98.12,67.0,27.34546666666756,98.12,0.0,0.008087880251086432
NVDA,2025-04-22 10:56:00+00:00,SELL,98.08,67.0,6598.705466666667,98.08000000000001,-9.521272659185342e-13,0.023708421797593773
NVDA,2025-04-22 11:20:00+00:00,BUY,97.89,67.0,40.075466666667126,97.89000000000001,-9.521272659185342e-13,0.0015505669983800047
NVDA,2025-04-22 11:35:00+00:00,SELL,97.8,67.0,6592.675466666667,97.8,0.0,0.018291018291018292
NVDA,2025-04-22 11:49:00+00:00,BUY,97.78,67.0,41.41546666666636,97.78,0.0,0.008248184168410685
NVDA,2025-04-22 11:54:00+00:00,SELL,97.64,67.0,6583.2954666666665,97.64,0.0,0.007453554344198465
NVDA,2025-04-22 12:00:00+00:00,BUY,97.8002,67.0,30.682066666666287,97.8002,0.0,5.4155417966666125e-05
NVDA,2025-04-22 13:18:00+00:00,SELL,98.41,67.0,6624.152066666666,98.41,0.0,0.0017083556439480864
NVDA,2025-04-22 13:19:00+00:00,BUY,98.41,67.0,30.682066666666287,98.41,0.0,0.002046551408149551
NVDA,2025-04-22 13:21:00+00:00,SELL,98.35,67.0,6620.132066666666,98.34999999999998,9.521272659185342e-13,0.0025852755054792407
NVDA,2025-04-22 13:22:00+00:00,BUY,98.41,67.0,26.66206666666676,98.41,0.0,0.0020495564392780667
