Symbol,Datetime,Action,Price,Shares,Cash_Remaining,Market_VWAP,Slippage,Participation_Rate
XOM,2025-04-21 12:46:00+00:00,BUY,106.01,62.0,94.04666666666708,106.01,0.0,0.21379310344827587
XOM,2025-04-21 13:27:00+00:00,SELL,105.4,62.0,6628.846666666667,105.4,0.0,0.017160254636036536
XOM,2025-04-21 13:43:00+00:00,BUY,105.4,62.0,94.04666666666708,105.4,0.0,0.0025348542458808617
XOM,2025-04-21 13:55:00+00:00,SELL,105.185,62.0,6615.516666666667,105.185,0.0,0.0034921707784161316
XOM,2025-04-21 14:06:00+00:00,BUY,105.34,62.0,84.4366666666674,105.34,0.0,0.0033835407116350144
XOM,2025-04-21 14:20:00+00:00,SELL,105.3,62.0,6613.036666666667,105.3,0.0,0.0033763546261504113
XOM,2025-04-21 14:39:00+00:00,BUY,105.33,62.0,82.57666666666682,105.33,0.0,0.003207117732257397
XOM,2025-04-21 14:52:00+00:00,SELL,105.25,62.0,6608.076666666667,105.25,0.0,0.00872624912033779
XOM,2025-04-21 15:26:00+00:00,BUY,104.96,62.0,100.5566666666673,104.96,0.0,0.006915012268570154
XOM,2025-04-21 15:34:00+00:00,SELL,104.78,62.0,6596.916666666667,104.78,0.0,0.005445283681714386
XOM,2025-04-21 16:09:00+00:00,BUY,104.4502,63.0,16.554066666667495,104.4502,0.0,0.008953951108584423
XOM,2025-04-21 16:29:00+00:00,SELL,104.56,63.0,6603.834066666667,104.56,0.0,0.0070438282647584975
XOM,2025-04-21 16:31:00+00:00,BUY,104.73,63.0,5.844066666666549,104.72999999999999,8.952838470577262e-13,0.00116103350410969
XOM,2025-04-21 16:48:00+00:00,SELL,104.7662,63.0,6606.114666666666,104.76619999999998,8.952838470577262e-13,0.011384170581857608
XOM,2025-04-21 17:15:00+00:00,BUY,104.4,63.0,28.914666666665653,104.4,0.0,0.003302059856386603
XOM,2025-04-21 17:32:00+00:00,SELL,104.51,63.0,6613.044666666666,104.51,0.0,0.008230990331852626
XOM,2025-04-21 17:53:00+00:00,BUY,104.42,63.0,34.584666666665726,104.42,0.0,0.0034353018158023883
XOM,2025-04-21 18:01:00+00:00,SELL,104.3366,63.0,6607.790466666666,104.3366,0.0,0.003215434083601286
XOM,2025-04-21 18:20:00+00:00,BUY,104.31,63.0,36.260466666666616,104.31,0.0,0.0015457467428907918
XOM,2025-04-21 18:44:00+00:00,SELL,104.405,63.0,6613.775466666667,104.405,0.0,0.002781702578594136
XOM,2025-04-21 19:01:00+00:00,BUY,104.54,63.0,27.755466666666507,104.54,0.0,0.0011076338830479271
XOM,2025-04-21 19:30:00+00:00,SELL,104.545,63.0,6614.0904666666665,104.545,0.0,0.001492007104795737
XOM,2025-04-21 19:35:00+00:00,BUY,104.65,63.0,21.140466666665816,104.65,0.0,0.0007619646593534186
XOM,2025-04-21 21:55:00+00:00,SELL,105.29,63.0,6654.410466666666,105.29,0.0,0.21
XOM,2025-04-21 23:58:00+00:00,BUY,105.5,63.0,7.910466666666252,105.5,0.0,0.63
XOM,2025-04-22 12:09:00+00:00,SELL,106.12,63.0,6693.470466666667,106.12,0.0,0.1044776119402985
XOM,2025-04-22 13:12:00+00:00,BUY,106.39,62.0,97.29046666666636,106.39,0.0,0.62
XOM,2025-04-22 13:52:00+00:00,SELL,106.97,62.0,6729.430466666667,106.97,0.0,0.0015933797640769961
XOM,2025-04-22 14:01:00+00:00,BUY,106.975,62.0,96.98046666666689,106.97499999999998,8.810729923425242e-13,0.0028385678967127554
XOM,2025-04-22 14:32:00+00:00,SELL,107.32,62.0,6750.820466666666,107.32,0.0,0.003824799506477483
XOM,2025-04-22 14:37:00+00:00,BUY,107.415,62.0,91.09046666666563,107.415,0.0,0.004485602662422226
XOM,2025-04-22 15:27:00+00:00,SELL,107.99,62.0,6786.470466666666,107.99,0.0,0.0027803937396295797
XOM,2025-04-22 15:45:00+00:00,BUY,107.98,62.0,91.71046666666552,107.98,0.0,0.006928148396468879
XOM,2025-04-22 16:18:00+00:00,SELL,108.61,62.0,6825.530466666665,108.61,0.0,0.009485924112607099
XOM,2025-04-22 16:21:00+00:00,BUY,108.695,62.0,86.440466666666,108.69499999999998,8.810729923425242e-13,0.005526339245922097
XOM,2025-04-22 16:35:00+00:00,SELL,108.66,62.0,6823.360466666666,108.66,0.0,0.012510088781275222
XOM,2025-04-22 16:56:00+00:00,BUY,108.5001,62.0,96.35426666666626,108.5001,0.0,0.005551078879040201
XOM,2025-04-22 16:57:00+00:00,SELL,108.52,62.0,6824.594266666666,108.52,0.0,0.007437619961612284
XOM,2025-04-22 18:02:00+00:00,BUY,107.39,63.0,59.024266666666335,107.39,0.0,0.0056104728827144
XOM,2025-04-22 19:11:00+00:00,SELL,108.17,63.0,6873.734266666666,108.17,0.0,0.004343928842308488
XOM,2025-04-22 19:26:00+00:00,BUY,108.185,63.0,58.07926666666663,108.185,0.0,0.002396986645360119
XOM,2025-04-22 19:39:00+00:00,SELL,108.095,63.0,6868.064266666666,108.095,0.0,0.00236096537250787
XOM,2025-04-22 19:43:00+00:00,BUY,108.32,63.0,43.904266666666445,108.32,0.0,0.0018990775908844276
XOM,2025-04-22 19:58:00+00:00,SELL,108.23,63.0,6862.394266666667,108.23,0.0,0.00046749777382012466
XOM,2025-04-22 20:29:00+00:00,BUY,108.29,63.0,40.1242666666667,108.29,0.0,0.1575
XOM,2025-04-23 11:41:00+00:00,SELL,110.0,63.0,6970.124266666667,110.0,0.0,0.1044776119402985
XOM,2025-04-23 12:51:00+00:00,BUY,109.75,63.0,55.8742666666667,109.75,0.0,0.18529411764705883
XOM,2025-04-23 13:20:00+00:00,SELL,109.47,63.0,6952.484266666666,109.47,0.0,0.10063897763578275
XOM,2025-04-23 13:45:00+00:00,BUY,108.42,64.0,13.604266666666264,108.42,0.0,0.0008497981729339282
XOM,2025-04-23 13:56:00+00:00,SELL,108.42,64.0,6952.484266666666,108.42,0.0,0.0021549547122798746
XOM,2025-04-23 13:57:00+00:00,BUY,108.54,64.0,5.924266666665972,108.54,0.0,0.00162321193060769
XOM,2025-04-23 14:11:00+00:00,SELL,108.13,64.0,6926.244266666666,108.13,0.0,0.000761741531576567
XOM,2025-04-23 14:28:00+00:00,BUY,107.81,64.0,26.40426666666553,107.81,0.0,0.002951757217968822
XOM,2025-04-23 14:38:00+00:00,SELL,107.31,64.0,6894.244266666666,107.31,0.0,0.0015381287702179818
XOM,2025-04-23 14:50:00+00:00,BUY,107.44,64.0,18.084266666665822,107.44,0.0,0.0014908337021593795
XOM,2025-04-23 14:53:00+00:00,SELL,107.26,64.0,6882.724266666666,107.26,0.0,0.00344030532709778
XOM,2025-04-23 14:59:00+00:00,BUY,107.57,63.0,105.8142666666663,107.57,0.0,0.002126510497535948
XOM,2025-04-23 15:12:00+00:00,SELL,107.31,63.0,6866.344266666666,107.31,0.0,0.003613628541929563
