Symbol,Datetime,Action,Price,Shares,Cash_Remaining
CVX,2025-04-21 13:19:00+00:00,BUY,136.8,48.0,100.26666666666642
CVX,2025-04-21 13:27:00+00:00,SELL,136.36,48.0,6645.546666666667
CVX,2025-04-21 13:44:00+00:00,BUY,135.75,48.0,129.54666666666708
CVX,2025-04-21 13:53:00+00:00,SELL,135.175,48.0,6617.946666666668
CVX,2025-04-21 14:10:00+00:00,BUY,135.15,48.0,130.7466666666669
CVX,2025-04-21 14:18:00+00:00,SELL,134.84,48.0,6603.066666666667
CVX,2025-04-21 14:39:00+00:00,BUY,134.88,48.0,128.82666666666682
CVX,2025-04-21 14:50:00+00:00,SELL,134.79,48.0,6598.746666666667
CVX,2025-04-21 15:29:00+00:00,BUY,134.225,49.0,21.72166666666726
CVX,2025-04-21 15:36:00+00:00,SELL,133.95,49.0,6585.2716666666665
CVX,2025-04-21 16:13:00+00:00,BUY,133.13,49.0,61.90166666666664
CVX,2025-04-21 16:30:00+00:00,SELL,133.145,49.0,6586.006666666667
CVX,2025-04-21 16:31:00+00:00,BUY,133.19,49.0,59.696666666667625
CVX,2025-04-21 16:47:00+00:00,SELL,133.16,49.0,6584.536666666668
CVX,2025-04-21 17:16:00+00:00,BUY,132.67,49.0,83.70666666666875
CVX,2025-04-21 17:33:00+00:00,SELL,132.75,49.0,6588.456666666669
CVX,2025-04-21 17:52:00+00:00,BUY,132.84,49.0,79.2966666666689
CVX,2025-04-21 18:00:00+00:00,SELL,132.67,49.0,6580.126666666668
CVX,2025-04-21 18:19:00+00:00,BUY,132.7025,49.0,77.70416666666824
CVX,2025-04-21 18:45:00+00:00,SELL,132.69,49.0,6579.514166666668
CVX,2025-04-21 19:02:00+00:00,BUY,132.68,49.0,78.19416666666712
CVX,2025-04-21 19:14:00+00:00,SELL,132.58,49.0,6574.614166666668
CVX,2025-04-21 19:21:00+00:00,BUY,132.77,49.0,68.88416666666762
CVX,2025-04-21 20:42:00+00:00,SELL,133.5,49.0,6610.384166666668
CVX,2025-04-21 22:43:00+00:00,BUY,133.4,49.0,73.78416666666726
CVX,2025-04-21 23:31:00+00:00,SELL,133.45,49.0,6612.8341666666665
CVX,2025-04-21 23:56:00+00:00,BUY,133.73,49.0,60.064166666667006
CVX,2025-04-22 11:19:00+00:00,SELL,134.74,49.0,6662.324166666667
CVX,2025-04-22 12:41:00+00:00,BUY,135.0,49.0,47.324166666667224
CVX,2025-04-22 12:44:00+00:00,SELL,135.02,49.0,6663.304166666668
CVX,2025-04-22 12:47:00+00:00,BUY,135.05,49.0,45.85416666666697
CVX,2025-04-22 13:17:00+00:00,SELL,135.0,49.0,6660.854166666667
CVX,2025-04-22 13:30:00+00:00,BUY,135.415,49.0,25.519166666666933
CVX,2025-04-22 13:50:00+00:00,SELL,135.57,49.0,6668.449166666666
CVX,2025-04-22 14:09:00+00:00,BUY,135.49,49.0,29.439166666666097
CVX,2025-04-22 14:28:00+00:00,SELL,135.51,49.0,6669.429166666666
CVX,2025-04-22 14:36:00+00:00,BUY,135.74,49.0,18.16916666666566
CVX,2025-04-22 15:27:00+00:00,SELL,136.46,49.0,6704.709166666666
CVX,2025-04-22 15:42:00+00:00,BUY,136.45,49.0,18.65916666666635
CVX,2025-04-22 15:43:00+00:00,SELL,136.34,49.0,6699.319166666666
CVX,2025-04-22 15:45:00+00:00,BUY,136.475,49.0,12.04416666666657
CVX,2025-04-22 16:38:00+00:00,SELL,137.95,49.0,6771.594166666666
CVX,2025-04-22 17:39:00+00:00,BUY,136.49,49.0,83.58416666666562
CVX,2025-04-22 17:41:00+00:00,SELL,136.46,49.0,6770.124166666666
CVX,2025-04-22 18:04:00+00:00,BUY,136.44,49.0,84.5641666666661
CVX,2025-04-22 19:10:00+00:00,SELL,137.41,49.0,6817.654166666666
CVX,2025-04-22 19:44:00+00:00,BUY,137.17,49.0,96.32416666666722
CVX,2025-04-23 10:18:00+00:00,SELL,139.36,49.0,6924.964166666668
CVX,2025-04-23 11:02:00+00:00,BUY,139.89,49.0,70.35416666666788
CVX,2025-04-23 11:50:00+00:00,SELL,139.1,49.0,6886.2541666666675
CVX,2025-04-23 12:57:00+00:00,BUY,138.67,49.0,91.4241666666685
CVX,2025-04-23 13:24:00+00:00,SELL,138.48,49.0,6876.944166666668
CVX,2025-04-23 13:44:00+00:00,BUY,137.21,50.0,16.444166666668025
