Symbol,Datetime,Action,Price,Shares,Cash_Remaining
JNJ,2025-04-21 13:45:00+00:00,BUY,157.545,42.0,49.77666666666755
JNJ,2025-04-21 13:48:00+00:00,SELL,157.6,42.0,6668.976666666667
JNJ,2025-04-21 13:53:00+00:00,BUY,157.7,42.0,45.576666666667734
JNJ,2025-04-21 14:11:00+00:00,SELL,157.675,42.0,6667.926666666668
JNJ,2025-04-21 14:25:00+00:00,BUY,157.78,42.0,41.16666666666788
JNJ,2025-04-21 14:46:00+00:00,SELL,157.7,42.0,6664.5666666666675
JNJ,2025-04-21 15:22:00+00:00,BUY,157.37,42.0,55.02666666666755
JNJ,2025-04-21 15:38:00+00:00,SELL,157.52,42.0,6670.866666666668
JNJ,2025-04-21 16:34:00+00:00,BUY,156.75,42.0,87.3666666666677
JNJ,2025-04-21 16:49:00+00:00,SELL,156.68,42.0,6667.926666666668
JNJ,2025-04-21 18:19:00+00:00,BUY,155.8,42.0,124.32666666666773
JNJ,2025-04-21 18:44:00+00:00,SELL,156.16,42.0,6683.046666666668
JNJ,2025-04-21 19:15:00+00:00,BUY,156.085,42.0,127.47666666666737
JNJ,2025-04-21 19:30:00+00:00,SELL,156.11,42.0,6684.096666666668
JNJ,2025-04-21 19:37:00+00:00,BUY,156.32,42.0,118.65666666666857
JNJ,2025-04-22 11:57:00+00:00,SELL,156.92,42.0,6709.296666666668
JNJ,2025-04-22 12:00:00+00:00,BUY,157.39,42.0,98.91666666666879
JNJ,2025-04-22 13:53:00+00:00,SELL,157.825,42.0,6727.566666666668
JNJ,2025-04-22 14:01:00+00:00,BUY,158.065,42.0,88.83666666666886
JNJ,2025-04-22 14:16:00+00:00,SELL,158.13,42.0,6730.296666666669
JNJ,2025-04-22 14:25:00+00:00,BUY,158.26,42.0,83.37666666666883
JNJ,2025-04-22 14:29:00+00:00,SELL,158.17,42.0,6726.516666666668
JNJ,2025-04-22 14:33:00+00:00,BUY,158.27,42.0,79.1766666666681
JNJ,2025-04-22 14:54:00+00:00,SELL,158.5,42.0,6736.176666666668
JNJ,2025-04-22 14:57:00+00:00,BUY,158.555,42.0,76.8666666666677
JNJ,2025-04-22 15:02:00+00:00,SELL,158.4025,42.0,6729.771666666667
JNJ,2025-04-22 15:28:00+00:00,BUY,157.95,42.0,95.8716666666678
JNJ,2025-04-22 15:44:00+00:00,SELL,157.935,42.0,6729.141666666668
JNJ,2025-04-22 15:57:00+00:00,BUY,158.0,42.0,93.14166666666824
JNJ,2025-04-22 16:08:00+00:00,SELL,157.88,42.0,6724.101666666668
JNJ,2025-04-22 16:34:00+00:00,BUY,157.36,42.0,114.98166666666748
JNJ,2025-04-22 16:39:00+00:00,SELL,157.25,42.0,6719.4816666666675
JNJ,2025-04-22 16:42:00+00:00,BUY,157.331,42.0,111.57966666666834
JNJ,2025-04-22 17:00:00+00:00,SELL,157.32,42.0,6719.019666666668
JNJ,2025-04-22 17:24:00+00:00,BUY,156.95,42.0,127.11966666666831
JNJ,2025-04-22 17:34:00+00:00,SELL,156.54,42.0,6701.799666666668
JNJ,2025-04-22 18:04:00+00:00,BUY,156.64,42.0,122.91966666666849
JNJ,2025-04-22 18:55:00+00:00,SELL,157.57,42.0,6740.859666666668
JNJ,2025-04-22 19:27:00+00:00,BUY,157.3,42.0,134.25966666666773
JNJ,2025-04-22 19:54:00+00:00,SELL,157.565,42.0,6751.989666666667
JNJ,2025-04-22 19:57:00+00:00,BUY,157.79,42.0,124.80966666666791
JNJ,2025-04-22 20:01:00+00:00,SELL,157.01,42.0,6719.229666666668
JNJ,2025-04-22 21:19:00+00:00,BUY,158.58,42.0,58.8696666666674
JNJ,2025-04-23 13:28:00+00:00,SELL,156.66,42.0,6638.589666666668
JNJ,2025-04-23 13:58:00+00:00,BUY,155.89,42.0,91.20966666666845
JNJ,2025-04-23 14:16:00+00:00,SELL,155.75,42.0,6632.709666666668
JNJ,2025-04-23 14:24:00+00:00,BUY,156.4212,42.0,63.019266666668955
JNJ,2025-04-23 14:52:00+00:00,SELL,156.505,42.0,6636.229266666669
JNJ,2025-04-23 15:37:00+00:00,BUY,155.54,42.0,103.54926666666961
JNJ,2025-04-23 15:47:00+00:00,SELL,155.325,42.0,6627.199266666669
JNJ,2025-04-23 15:54:00+00:00,BUY,155.635,42.0,90.52926666666917
JNJ,2025-04-23 16:10:00+00:00,SELL,155.79,42.0,6633.709266666669
JNJ,2025-04-23 16:33:00+00:00,BUY,155.305,42.0,110.89926666666815
JNJ,2025-04-23 16:43:00+00:00,SELL,155.21,42.0,6629.719266666669
