Symbol,Datetime,Action,Price,Shares,Cash_Remaining
JPM,2025-04-21 13:40:00+00:00,BUY,230.98,28.0,199.22666666666737
JPM,2025-04-21 13:53:00+00:00,SELL,230.5,28.0,6653.226666666667
JPM,2025-04-21 14:30:00+00:00,BUY,229.125,29.0,8.60166666666737
JPM,2025-04-21 14:46:00+00:00,SELL,228.62,29.0,6638.581666666668
JPM,2025-04-21 15:05:00+00:00,BUY,228.66,29.0,7.4416666666675155
JPM,2025-04-21 15:25:00+00:00,SELL,228.9,29.0,6645.541666666668
JPM,2025-04-21 16:07:00+00:00,BUY,227.97,29.0,34.41166666666777
JPM,2025-04-21 16:20:00+00:00,SELL,228.025,29.0,6647.136666666668
JPM,2025-04-21 16:31:00+00:00,BUY,228.3891,29.0,23.852766666667776
JPM,2025-04-21 16:52:00+00:00,SELL,228.48,29.0,6649.772766666668
JPM,2025-04-21 17:23:00+00:00,BUY,227.93,29.0,39.802766666667594
JPM,2025-04-21 17:26:00+00:00,SELL,227.575,29.0,6639.477766666667
JPM,2025-04-21 17:27:00+00:00,BUY,227.79,29.0,33.56776666666701
JPM,2025-04-21 17:28:00+00:00,SELL,227.605,29.0,6634.112766666667
JPM,2025-04-21 17:30:00+00:00,BUY,227.8493,29.0,26.483066666666673
JPM,2025-04-21 17:36:00+00:00,SELL,227.56,29.0,6625.723066666666
JPM,2025-04-21 18:16:00+00:00,BUY,226.9567,29.0,43.97876666666616
JPM,2025-04-21 18:47:00+00:00,SELL,227.275,29.0,6634.9537666666665
JPM,2025-04-21 19:01:00+00:00,BUY,227.61,29.0,34.263766666666015
JPM,2025-04-21 19:27:00+00:00,SELL,227.68,29.0,6636.983766666666
JPM,2025-04-21 19:37:00+00:00,BUY,227.915,29.0,27.448766666666415
JPM,2025-04-21 22:53:00+00:00,SELL,228.5001,29.0,6653.951666666667
JPM,2025-04-21 23:56:00+00:00,BUY,229.0,29.0,12.951666666666824
JPM,2025-04-22 13:17:00+00:00,SELL,231.27,29.0,6719.781666666667
