Symbol,Datetime,Action,Price,Shares,Cash_Remaining
MSFT,2025-04-21 12:12:00+00:00,BUY,369.067,18.0,23.46066666666684
MSFT,2025-04-21 12:24:00+00:00,SELL,364.0,18.0,6575.460666666667
MSFT,2025-04-21 12:28:00+00:00,BUY,364.49,18.0,14.64066666666713
MSFT,2025-04-21 12:30:00+00:00,SELL,364.0122,18.0,6566.8602666666675
MSFT,2025-04-21 12:39:00+00:00,BUY,364.43,18.0,7.120266666667703
MSFT,2025-04-21 12:40:00+00:00,SELL,364.48,18.0,6567.760266666668
MSFT,2025-04-21 12:45:00+00:00,BUY,364.6,18.0,4.960266666667849
MSFT,2025-04-21 12:57:00+00:00,SELL,364.13,18.0,6559.300266666668
MSFT,2025-04-21 13:34:00+00:00,BUY,364.19,18.0,3.8802666666679215
MSFT,2025-04-21 13:38:00+00:00,SELL,362.625,18.0,6531.130266666668
MSFT,2025-04-21 13:43:00+00:00,BUY,363.34,17.0,354.3502666666682
MSFT,2025-04-21 13:45:00+00:00,SELL,362.7,17.0,6520.250266666668
MSFT,2025-04-21 14:25:00+00:00,BUY,360.4,18.0,33.050266666667994
MSFT,2025-04-21 14:47:00+00:00,SELL,360.44,18.0,6520.970266666668
MSFT,2025-04-21 15:05:00+00:00,BUY,360.7,18.0,28.370266666668613
MSFT,2025-04-21 15:16:00+00:00,SELL,360.21,18.0,6512.150266666668
MSFT,2025-04-21 16:12:00+00:00,BUY,358.35,18.0,61.850266666668176
MSFT,2025-04-21 16:15:00+00:00,SELL,358.07,18.0,6507.110266666668
MSFT,2025-04-21 16:21:00+00:00,BUY,358.2825,18.0,58.02526666666745
MSFT,2025-04-21 16:29:00+00:00,SELL,358.2569,18.0,6506.649466666667
MSFT,2025-04-21 16:31:00+00:00,BUY,358.555,18.0,52.65946666666696
MSFT,2025-04-21 16:51:00+00:00,SELL,358.79,18.0,6510.879466666667
MSFT,2025-04-21 17:19:00+00:00,BUY,358.57,18.0,56.619466666666995
MSFT,2025-04-21 17:29:00+00:00,SELL,358.54,18.0,6510.339466666667
MSFT,2025-04-21 17:30:00+00:00,BUY,358.73,18.0,53.19946666666692
MSFT,2025-04-21 17:35:00+00:00,SELL,358.27,18.0,6502.059466666667
MSFT,2025-04-21 18:17:00+00:00,BUY,357.6203,18.0,64.89406666666673
MSFT,2025-04-21 18:26:00+00:00,SELL,357.19,18.0,6494.314066666667
MSFT,2025-04-21 18:30:00+00:00,BUY,357.73,18.0,55.17406666666648
MSFT,2025-04-21 18:38:00+00:00,SELL,357.17,18.0,6484.234066666667
MSFT,2025-04-21 19:02:00+00:00,BUY,356.64,18.0,64.71406666666735
