Symbol,Datetime,Action,Price,Shares,Cash_Remaining
WMT,2025-04-21 11:57:00+00:00,BUY,92.56,72.0,2.346666666667261
WMT,2025-04-21 11:59:00+00:00,SELL,92.62,72.0,6670.986666666668
WMT,2025-04-21 12:00:00+00:00,BUY,92.7751,71.0,83.95456666666814
WMT,2025-04-21 12:13:00+00:00,SELL,92.59,71.0,6657.8445666666685
WMT,2025-04-21 12:29:00+00:00,BUY,92.86,71.0,64.78456666666807
WMT,2025-04-21 13:19:00+00:00,SELL,92.85,71.0,6657.1345666666675
WMT,2025-04-21 13:29:00+00:00,BUY,93.41,71.0,25.02456666666785
WMT,2025-04-21 13:38:00+00:00,SELL,92.76,71.0,6610.984566666668
WMT,2025-04-21 13:58:00+00:00,BUY,93.0,71.0,7.984566666667888
WMT,2025-04-21 14:01:00+00:00,SELL,92.87,71.0,6601.754566666668
WMT,2025-04-21 14:25:00+00:00,BUY,92.51,71.0,33.54456666666829
WMT,2025-04-21 14:46:00+00:00,SELL,92.51,71.0,6601.754566666668
WMT,2025-04-21 15:06:00+00:00,BUY,92.43,71.0,39.22456666666767
WMT,2025-04-21 15:16:00+00:00,SELL,92.18,71.0,6584.004566666668
WMT,2025-04-21 15:57:00+00:00,BUY,91.9,71.0,59.10456666666778
WMT,2025-04-21 16:17:00+00:00,SELL,91.9,71.0,6584.004566666668
WMT,2025-04-21 16:30:00+00:00,BUY,92.26,71.0,33.54456666666829
WMT,2025-04-21 16:51:00+00:00,SELL,92.115,71.0,6573.709566666668
WMT,2025-04-21 17:23:00+00:00,BUY,91.66,71.0,65.84956666666858
WMT,2025-04-21 17:44:00+00:00,SELL,91.64,71.0,6572.289566666668
WMT,2025-04-21 18:05:00+00:00,BUY,91.495,71.0,76.14456666666774
WMT,2025-04-21 18:10:00+00:00,SELL,91.38,71.0,6564.124566666667
WMT,2025-04-21 18:16:00+00:00,BUY,91.59,71.0,61.23456666666698
WMT,2025-04-21 18:23:00+00:00,SELL,91.44,71.0,6553.474566666667
WMT,2025-04-21 18:29:00+00:00,BUY,91.54,71.0,54.134566666666615
WMT,2025-04-21 18:45:00+00:00,SELL,91.53,71.0,6552.764566666667
WMT,2025-04-21 19:02:00+00:00,BUY,91.61,71.0,48.454566666666324
WMT,2025-04-21 20:05:00+00:00,SELL,92.3458,71.0,6605.0063666666665
WMT,2025-04-21 20:13:00+00:00,BUY,92.36,71.0,47.44636666666611
WMT,2025-04-21 20:21:00+00:00,SELL,92.41,71.0,6608.556366666666
WMT,2025-04-21 21:06:00+00:00,BUY,92.38,71.0,49.57636666666622
WMT,2025-04-21 22:20:00+00:00,SELL,92.35,71.0,6606.426366666666
WMT,2025-04-21 23:50:00+00:00,BUY,92.34,71.0,50.286366666665344
WMT,2025-04-22 12:06:00+00:00,SELL,92.85,71.0,6642.636366666665
WMT,2025-04-22 12:48:00+00:00,BUY,92.9,71.0,46.73636666666425
WMT,2025-04-22 13:26:00+00:00,SELL,92.98,71.0,6648.316366666664
WMT,2025-04-22 13:28:00+00:00,BUY,93.12,71.0,36.796366666663744
WMT,2025-04-22 14:34:00+00:00,SELL,94.42,71.0,6740.616366666663
WMT,2025-04-22 14:42:00+00:00,BUY,94.56,71.0,26.856366666663234
WMT,2025-04-22 15:08:00+00:00,SELL,94.6456,71.0,6746.693966666663
WMT,2025-04-22 15:24:00+00:00,BUY,94.78,71.0,17.313966666662964
WMT,2025-04-22 15:31:00+00:00,SELL,94.58,71.0,6732.493966666663
WMT,2025-04-22 15:53:00+00:00,BUY,94.64,71.0,13.053966666663655
WMT,2025-04-22 16:18:00+00:00,SELL,94.9801,71.0,6756.641066666663
WMT,2025-04-22 16:24:00+00:00,BUY,95.16,71.0,0.28106666666371893
WMT,2025-04-22 16:30:00+00:00,SELL,95.02,71.0,6746.701066666664
WMT,2025-04-22 16:44:00+00:00,BUY,95.1,70.0,89.70106666666379
WMT,2025-04-22 16:46:00+00:00,SELL,95.02,70.0,6741.101066666663
WMT,2025-04-22 16:56:00+00:00,BUY,95.1,70.0,84.10106666666343
WMT,2025-04-22 17:07:00+00:00,SELL,95.01,70.0,6734.801066666664
WMT,2025-04-22 17:08:00+00:00,BUY,95.1812,70.0,72.11706666666396
WMT,2025-04-22 17:10:00+00:00,SELL,94.85,70.0,6711.617066666664
WMT,2025-04-22 18:02:00+00:00,BUY,93.99,71.0,38.327066666663995
WMT,2025-04-22 19:00:00+00:00,SELL,94.7527,71.0,6765.768766666664
WMT,2025-04-22 19:24:00+00:00,BUY,94.69,71.0,42.778766666664524
WMT,2025-04-22 20:00:00+00:00,SELL,94.85,71.0,6777.128766666664
WMT,2025-04-22 21:18:00+00:00,BUY,94.96,71.0,34.96876666666412
WMT,2025-04-22 22:10:00+00:00,SELL,95.82,71.0,6838.1887666666635
WMT,2025-04-22 22:46:00+00:00,BUY,95.9,71.0,29.288766666662923
WMT,2025-04-23 08:40:00+00:00,SELL,96.0,71.0,6845.288766666663
WMT,2025-04-23 09:02:00+00:00,BUY,96.06,71.0,25.028766666662705
WMT,2025-04-23 09:29:00+00:00,SELL,95.96,71.0,6838.188766666663
WMT,2025-04-23 11:04:00+00:00,BUY,96.08,71.0,16.508766666662268
WMT,2025-04-23 11:52:00+00:00,SELL,96.11,71.0,6840.318766666663
WMT,2025-04-23 12:23:00+00:00,BUY,96.0,71.0,24.31876666666267
WMT,2025-04-23 13:05:00+00:00,SELL,96.23,71.0,6856.648766666663
