Symbol,Datetime,Action,Price,Shares,Cash_Remaining
XOM,2025-04-21 12:46:00+00:00,BUY,106.01,62.0,94.04666666666708
XOM,2025-04-21 13:27:00+00:00,SELL,105.4,62.0,6628.846666666667
XOM,2025-04-21 13:43:00+00:00,BUY,105.4,62.0,94.04666666666708
XOM,2025-04-21 13:55:00+00:00,SELL,105.185,62.0,6615.516666666667
XOM,2025-04-21 14:06:00+00:00,BUY,105.34,62.0,84.4366666666674
XOM,2025-04-21 14:20:00+00:00,SELL,105.3,62.0,6613.036666666667
XOM,2025-04-21 14:39:00+00:00,BUY,105.33,62.0,82.57666666666682
XOM,2025-04-21 14:52:00+00:00,SELL,105.25,62.0,6608.076666666667
XOM,2025-04-21 15:26:00+00:00,BUY,104.96,62.0,100.5566666666673
XOM,2025-04-21 15:34:00+00:00,SELL,104.78,62.0,6596.916666666667
XOM,2025-04-21 16:09:00+00:00,BUY,104.4502,63.0,16.554066666667495
XOM,2025-04-21 16:29:00+00:00,SELL,104.56,63.0,6603.834066666667
XOM,2025-04-21 16:31:00+00:00,BUY,104.73,63.0,5.844066666666549
XOM,2025-04-21 16:48:00+00:00,SELL,104.7662,63.0,6606.114666666666
XOM,2025-04-21 17:15:00+00:00,BUY,104.4,63.0,28.914666666665653
XOM,2025-04-21 17:32:00+00:00,SELL,104.51,63.0,6613.044666666666
XOM,2025-04-21 17:53:00+00:00,BUY,104.42,63.0,34.584666666665726
XOM,2025-04-21 18:01:00+00:00,SELL,104.3366,63.0,6607.790466666666
XOM,2025-04-21 18:20:00+00:00,BUY,104.31,63.0,36.260466666666616
XOM,2025-04-21 18:44:00+00:00,SELL,104.405,63.0,6613.775466666667
XOM,2025-04-21 19:01:00+00:00,BUY,104.54,63.0,27.755466666666507
XOM,2025-04-21 19:30:00+00:00,SELL,104.545,63.0,6614.0904666666665
XOM,2025-04-21 19:35:00+00:00,BUY,104.65,63.0,21.140466666665816
XOM,2025-04-21 21:55:00+00:00,SELL,105.29,63.0,6654.410466666666
XOM,2025-04-21 23:58:00+00:00,BUY,105.5,63.0,7.910466666666252
XOM,2025-04-22 12:09:00+00:00,SELL,106.12,63.0,6693.470466666667
XOM,2025-04-22 13:12:00+00:00,BUY,106.39,62.0,97.29046666666636
XOM,2025-04-22 13:52:00+00:00,SELL,106.97,62.0,6729.430466666667
XOM,2025-04-22 14:01:00+00:00,BUY,106.975,62.0,96.98046666666687
XOM,2025-04-22 14:32:00+00:00,SELL,107.32,62.0,6750.820466666666
XOM,2025-04-22 14:37:00+00:00,BUY,107.415,62.0,91.09046666666563
XOM,2025-04-22 15:27:00+00:00,SELL,107.99,62.0,6786.470466666666
XOM,2025-04-22 15:45:00+00:00,BUY,107.98,62.0,91.71046666666552
XOM,2025-04-22 16:18:00+00:00,SELL,108.61,62.0,6825.530466666665
XOM,2025-04-22 16:21:00+00:00,BUY,108.695,62.0,86.440466666666
XOM,2025-04-22 16:35:00+00:00,SELL,108.66,62.0,6823.360466666666
XOM,2025-04-22 16:56:00+00:00,BUY,108.5001,62.0,96.35426666666626
XOM,2025-04-22 16:57:00+00:00,SELL,108.52,62.0,6824.594266666666
XOM,2025-04-22 18:02:00+00:00,BUY,107.39,63.0,59.024266666666335
XOM,2025-04-22 19:11:00+00:00,SELL,108.17,63.0,6873.734266666666
XOM,2025-04-22 19:26:00+00:00,BUY,108.185,63.0,58.079266666666626
XOM,2025-04-22 19:39:00+00:00,SELL,108.095,63.0,6868.064266666666
XOM,2025-04-22 19:43:00+00:00,BUY,108.32,63.0,43.904266666666445
XOM,2025-04-22 19:58:00+00:00,SELL,108.23,63.0,6862.394266666667
XOM,2025-04-22 20:29:00+00:00,BUY,108.29,63.0,40.1242666666667
XOM,2025-04-23 11:41:00+00:00,SELL,110.0,63.0,6970.124266666667
XOM,2025-04-23 12:51:00+00:00,BUY,109.75,63.0,55.8742666666667
XOM,2025-04-23 13:20:00+00:00,SELL,109.47,63.0,6952.484266666666
XOM,2025-04-23 13:45:00+00:00,BUY,108.42,64.0,13.604266666666263
XOM,2025-04-23 13:56:00+00:00,SELL,108.42,64.0,6952.484266666666
XOM,2025-04-23 13:57:00+00:00,BUY,108.54,64.0,5.924266666665972
XOM,2025-04-23 14:11:00+00:00,SELL,108.13,64.0,6926.244266666666
XOM,2025-04-23 14:28:00+00:00,BUY,107.81,64.0,26.404266666665535
XOM,2025-04-23 14:38:00+00:00,SELL,107.31,64.0,6894.244266666666
XOM,2025-04-23 14:50:00+00:00,BUY,107.44,64.0,18.084266666665826
XOM,2025-04-23 14:53:00+00:00,SELL,107.26,64.0,6882.724266666666
XOM,2025-04-23 14:59:00+00:00,BUY,107.57,63.0,105.8142666666663
XOM,2025-04-23 15:12:00+00:00,SELL,107.31,63.0,6866.344266666666
XOM,2025-04-23 15:37:00+00:00,BUY,106.92,64.0,23.464266666665935
XOM,2025-04-23 15:51:00+00:00,SELL,106.84,64.0,6861.224266666666
XOM,2025-04-23 16:17:00+00:00,BUY,106.87,64.0,21.544266666665862
XOM,2025-04-23 16:20:00+00:00,SELL,106.78,64.0,6855.464266666666
XOM,2025-04-23 16:29:00+00:00,BUY,107.17,63.0,103.7542666666659
XOM,2025-04-23 16:49:00+00:00,SELL,107.25,63.0,6860.504266666666
XOM,2025-04-23 16:57:00+00:00,BUY,107.57,63.0,83.59426666666604
XOM,2025-04-23 17:02:00+00:00,SELL,107.3027,63.0,6843.664366666666
XOM,2025-04-23 17:05:00+00:00,BUY,107.505,63.0,70.84936666666636
XOM,2025-04-23 17:27:00+00:00,SELL,107.62,63.0,6850.909366666667
XOM,2025-04-23 17:28:00+00:00,BUY,107.565,63.0,74.3143666666665
XOM,2025-04-23 17:29:00+00:00,SELL,107.395,63.0,6840.199366666666
XOM,2025-04-23 17:50:00+00:00,BUY,107.205,63.0,86.28436666666585
XOM,2025-04-23 18:10:00+00:00,SELL,107.49,63.0,6858.154366666666
XOM,2025-04-23 18:16:00+00:00,BUY,107.55,63.0,82.5043666666661
XOM,2025-04-23 18:17:00+00:00,SELL,107.505,63.0,6855.319366666666
XOM,2025-04-23 18:58:00+00:00,BUY,107.065,64.0,3.1593666666658464
XOM,2025-04-23 19:02:00+00:00,SELL,106.91,64.0,6845.399366666666
XOM,2025-04-23 19:30:00+00:00,BUY,106.905,64.0,3.4793666666655554
XOM,2025-04-23 20:11:00+00:00,SELL,107.26,64.0,6868.119366666666
XOM,2025-04-24 08:29:00+00:00,BUY,107.44,63.0,99.39936666666563
XOM,2025-04-24 13:33:00+00:00,SELL,107.395,63.0,6865.284366666665
XOM,2025-04-24 13:39:00+00:00,BUY,107.77,63.0,75.77436666666563
XOM,2025-04-24 13:44:00+00:00,SELL,107.74,63.0,6863.3943666666655
XOM,2025-04-24 13:48:00+00:00,BUY,107.8,63.0,71.99436666666588
XOM,2025-04-24 13:55:00+00:00,SELL,107.5407,63.0,6847.058466666666
XOM,2025-04-24 14:20:00+00:00,BUY,107.345,63.0,84.32346666666672
XOM,2025-04-24 14:49:00+00:00,SELL,107.925,63.0,6883.598466666666
XOM,2025-04-24 14:54:00+00:00,BUY,108.14,63.0,70.77846666666665
XOM,2025-04-24 15:05:00+00:00,SELL,108.02,63.0,6876.038466666666
XOM,2025-04-24 15:38:00+00:00,BUY,107.89,63.0,78.96846666666625
XOM,2025-04-24 15:39:00+00:00,SELL,107.875,63.0,6875.093466666666
XOM,2025-04-24 15:40:00+00:00,BUY,107.945,63.0,74.55846666666639
XOM,2025-04-24 16:00:00+00:00,SELL,108.07,63.0,6882.968466666666
XOM,2025-04-24 16:14:00+00:00,BUY,108.18,63.0,67.6284666666661
XOM,2025-04-24 16:47:00+00:00,SELL,108.8,63.0,6922.028466666666
XOM,2025-04-24 16:48:00+00:00,BUY,108.8093,63.0,67.04256666666606
XOM,2025-04-24 17:02:00+00:00,SELL,108.73,63.0,6917.032566666667
XOM,2025-04-24 17:27:00+00:00,BUY,108.565,63.0,77.4375666666665
XOM,2025-04-24 17:46:00+00:00,SELL,108.58,63.0,6917.9775666666665
XOM,2025-04-24 17:50:00+00:00,BUY,108.615,63.0,75.23256666666657
XOM,2025-04-24 17:56:00+00:00,SELL,108.62,63.0,6918.292566666667
XOM,2025-04-24 17:58:00+00:00,BUY,108.66,63.0,72.71256666666704
XOM,2025-04-24 18:11:00+00:00,SELL,108.59,63.0,6913.882566666667
XOM,2025-04-24 18:35:00+00:00,BUY,108.4,63.0,84.68256666666639
XOM,2025-04-24 18:40:00+00:00,SELL,108.35,63.0,6910.732566666666
XOM,2025-04-24 18:42:00+00:00,BUY,108.37,63.0,83.42256666666526
XOM,2025-04-24 18:45:00+00:00,SELL,108.31,63.0,6906.952566666665
XOM,2025-04-24 18:52:00+00:00,BUY,108.4,63.0,77.75256666666428
XOM,2025-04-24 18:59:00+00:00,SELL,108.2603,63.0,6898.151466666664
XOM,2025-04-24 19:19:00+00:00,BUY,108.2802,63.0,76.49886666666498
XOM,2025-04-24 19:34:00+00:00,SELL,108.26,63.0,6896.878866666665
XOM,2025-04-24 19:37:00+00:00,BUY,108.47,63.0,63.26886666666542
XOM,2025-04-24 20:50:00+00:00,SELL,108.61,63.0,6905.698866666666
XOM,2025-04-25 08:38:00+00:00,BUY,108.68,63.0,58.85886666666556
XOM,2025-04-25 09:56:00+00:00,SELL,108.57,63.0,6898.768866666665
XOM,2025-04-25 13:13:00+00:00,BUY,107.85,63.0,104.21886666666614
XOM,2025-04-25 13:54:00+00:00,SELL,108.14,63.0,6917.038866666666
XOM,2025-04-25 14:11:00+00:00,BUY,108.18,63.0,101.69886666666571
XOM,2025-04-25 14:19:00+00:00,SELL,107.89,63.0,6898.768866666665
XOM,2025-04-25 14:34:00+00:00,BUY,108.0,63.0,94.76886666666542
XOM,2025-04-25 15:19:00+00:00,SELL,108.29,63.0,6917.038866666666
XOM,2025-04-25 15:21:00+00:00,BUY,108.43,63.0,85.94886666666571
XOM,2025-04-25 15:30:00+00:00,SELL,108.33,63.0,6910.738866666666
XOM,2025-04-25 15:48:00+00:00,BUY,108.235,63.0,91.93386666666538
XOM,2025-04-25 16:29:00+00:00,SELL,108.44,63.0,6923.653866666666
XOM,2025-04-25 17:00:00+00:00,BUY,108.315,63.0,99.80886666666538
XOM,2025-04-25 17:05:00+00:00,SELL,108.265,63.0,6920.503866666665
XOM,2025-04-25 17:06:00+00:00,BUY,108.345,63.0,94.76886666666542
XOM,2025-04-25 17:24:00+00:00,SELL,108.25,63.0,6914.518866666665
XOM,2025-04-25 17:36:00+00:00,BUY,108.39,63.0,85.94886666666571
XOM,2025-04-25 17:39:00+00:00,SELL,108.15,63.0,6899.398866666666
XOM,2025-04-25 18:05:00+00:00,BUY,107.88,63.0,102.95886666666684
XOM,2025-04-25 18:52:00+00:00,SELL,108.31,63.0,6926.488866666667
XOM,2025-04-25 19:07:00+00:00,BUY,108.42,63.0,96.02886666666654
XOM,2025-04-25 19:14:00+00:00,SELL,108.32,63.0,6920.188866666666
XOM,2025-04-25 19:20:00+00:00,BUY,108.4401,63.0,88.46256666666613
XOM,2025-04-25 19:32:00+00:00,SELL,108.35,63.0,6914.512566666665
XOM,2025-04-25 19:51:00+00:00,BUY,108.54,63.0,76.49256666666497
XOM,2025-04-25 20:54:00+00:00,SELL,108.47,63.0,6910.102566666665
XOM,2025-04-28 12:33:00+00:00,BUY,108.5639,63.0,70.5768666666645
XOM,2025-04-28 13:48:00+00:00,SELL,108.93,63.0,6933.166866666665
XOM,2025-04-28 14:07:00+00:00,BUY,108.73,63.0,83.17686666666395
XOM,2025-04-28 14:10:00+00:00,SELL,108.71,63.0,6931.9068666666635
XOM,2025-04-28 14:12:00+00:00,BUY,108.94,63.0,68.68686666666326
XOM,2025-04-28 14:29:00+00:00,SELL,108.785,63.0,6922.141866666663
